player,pos,salary,date
Russell Westbrook,PG,11000,2019-02-26
Paul George,SF/PF,10400,2019-02-26
Nikola Jokic,C,10000,2019-02-26
Nikola Vucevic,C,9600,2019-02-26
Kawhi Leonard,SF/PF,9200,2019-02-26
Kyrie Irving,PG,8800,2019-02-26
Kyle Lowry,PG,7300,2019-02-26
Pascal Siakam,PF/C,7000,2019-02-26
Dennis Smith Jr.,PG,6700,2019-02-26
Aaron Gordon,SF/PF,6400,2019-02-26
Al Horford,PF/C,6300,2019-02-26
Paul Millsap,PF/C,6200,2019-02-26
Serge Ibaka,PF/C,6100,2019-02-26
DeAndre Jordan,C,6000,2019-02-26
Jamal Murray,PG/SG,6000,2019-02-26
Jayson Tatum,SF/PF,5900,2019-02-26
Evan Fournier,SG/SF,5800,2019-02-26
Jonathan Isaac,SF/PF,5800,2019-02-26
Marc Gasol,C,5700,2019-02-26
Steven Adams,C,5600,2019-02-26
Terry Rozier,PG/SG,5500,2019-02-26
Mitchell Robinson,C,5400,2019-02-26
Terrence Ross,SG/SF,5300,2019-02-26
Kevin Knox,SF/PF,5200,2019-02-26
Emmanuel Mudiay,PG,5000,2019-02-26
Will Barton,SG/SF,4900,2019-02-26
Mason Plumlee,PF/C,4800,2019-02-26
Marcus Morris,SF/PF,4700,2019-02-26
Jerami Grant,PF,4600,2019-02-26
Jaylen Brown,SG/SF,4600,2019-02-26
Gary Harris,SG,4500,2019-02-26
Fred VanVleet,PG/SG,4500,2019-02-26
Jeremy Lin,PG/SG,4400,2019-02-26
Damyean Dotson,SG/SF,4400,2019-02-26
Gordon Hayward,SF/PF,4300,2019-02-26
Dennis Schroder,PG/SG,4300,2019-02-26
Kadeem Allen,PG/SG,4300,2019-02-26
Malik Beasley,PG/SG,4200,2019-02-26
D.J. Augustin,PG,4100,2019-02-26
Marcus Smart,PG/SG,4100,2019-02-26
Danny Green,SG/SF,4000,2019-02-26
Markieff Morris,SF/PF,4000,2019-02-26
Noah Vonleh,PF/C,4000,2019-02-26
Monte Morris,PG,4000,2019-02-26
Nerlens Noel,C,3900,2019-02-26
Isaiah Thomas,PG,3800,2019-02-26
Terrance Ferguson,SG/SF,3800,2019-02-26
Aron Baynes,C,3700,2019-02-26
Trey Lyles,SF/PF,3700,2019-02-26
Frank Ntilikina,PG/SF,3600,2019-02-26
Luke Kornet,PF/C,3600,2019-02-26
Allonzo Trier,PG/SG,3600,2019-02-26
Mario Hezonja,SF/PF,3500,2019-02-26
Norman Powell,SG/SF,3500,2019-02-26
Daniel Theis,PF/C,3500,2019-02-26
Isaiah Briscoe,PG/SG,3500,2019-02-26
OG Anunoby,SF/PF,3500,2019-02-26
