player,pos,salary,date,slug
Cameron Oliver,SF,3000,2017-10-17,
Tristan Thompson,C,3900,2017-10-17,thomptr01
Jayson Tatum,SF/PF,3900,2017-10-17,tatumja01
Terry Rozier,PG/SG,3800,2017-10-17,roziete01
Bobby Brown,PG,3800,2017-10-17,brownbo02
Shaun Livingston,PG/SG,3700,2017-10-17,livinsh01
Jaylen Brown,SG/SF,3700,2017-10-17,brownja02
Andre Iguodala,SG/SF,3600,2017-10-17,iguodan01
Marcus Morris,SF/PF,4000,2017-10-17,morrima03
Jose Calderon,PG,3500,2017-10-17,caldejo01
P.J. Tucker,SF/PF,3500,2017-10-17,tuckepj01
Patrick McCaw,SG/SF,3500,2017-10-17,mccawpa01
Channing Frye,PF/C,3400,2017-10-17,fryech01
J.R. Smith,SG/SF,3400,2017-10-17,smithjr01
Zaza Pachulia,C,3400,2017-10-17,pachuza01
Tarik Black,PF/C,3400,2017-10-17,blackta01
Aron Baynes,C,3300,2017-10-17,baynear01
Nene Hilario,C,3500,2017-10-17,hilarne01
Ryan Anderson,PF,4100,2017-10-17,anderry01
Jae Crowder,SF/PF,4300,2017-10-17,crowdja01
Trevor Ariza,SF/PF,4500,2017-10-17,arizatr01
LeBron James,SF/PF,10200,2017-10-17,jamesle01
James Harden,SG,10000,2017-10-17,hardeja01
Kevin Durant,SF/PF,9600,2017-10-17,duranke01
Stephen Curry,PG,8800,2017-10-17,curryst01
Kyrie Irving,PG,8300,2017-10-17,irvinky01
Chris Paul,PG,8000,2017-10-17,paulch01
Kevin Love,PF/C,7800,2017-10-17,loveke01
Draymond Green,PF/C,7000,2017-10-17,greendr01
Gordon Hayward,SF,6700,2017-10-17,haywago01
Isaiah Thomas,PG,6500,2017-10-17,thomais02
Klay Thompson,SG,6200,2017-10-17,thompkl01
Al Horford,C,6000,2017-10-17,horfoal01
Clint Capela,C,5600,2017-10-17,capelca01
Dwyane Wade,PG/SG,5200,2017-10-17,wadedw01
Derrick Rose,PG,5000,2017-10-17,rosede01
Marcus Smart,PG/SG,4800,2017-10-17,smartma01
Eric Gordon,SG,4600,2017-10-17,gordoer01
Kyle Korver,SG/SF,3300,2017-10-17,korveky01
Omri Casspi,SF/PF,3300,2017-10-17,casspom01
Zhou Qi,PF,3000,2017-10-17,qizh01
JaVale McGee,C,3200,2017-10-17,mcgeeja01
Devin Williams,PF,3000,2017-10-17,
Guerschon Yabusele,PF/C,3000,2017-10-17,yabusgu01
L.J. Peak,SG,3000,2017-10-17,
Abdel Nader,PF,3000,2017-10-17,naderab01
Daniel Theis,PF/C,3000,2017-10-17,theisda01
Jabari Bird,SG,3000,2017-10-17,birdja01
Semi Ojeleye,SG/SF,3000,2017-10-17,ojelese01
Tim Quarterman,PG,3000,2017-10-17,quartti01
Kadeem Allen,SG,3000,2017-10-17,allenka01
Cedi Osman,SG/SF,3000,2017-10-17,osmande01
Ante Zizic,PF/C,3000,2017-10-17,zizican01
Jordan Bell,PF/C,3000,2017-10-17,belljo01
Antonius Cleveland,SG,3000,2017-10-17,clevean01
Chris Boucher,PF,3000,2017-10-17,bouchch01
George de Paula,PG,3000,2017-10-17,
Nick Young,SG,3200,2017-10-17,youngni01
Andrew White III,SF,3000,2017-10-17,whitean01
Troy Williams,SG,3000,2017-10-17,willitr02
Alex Hamilton,PG,3000,2017-10-17,
Chinanu Onuaku,PF/C,3000,2017-10-17,onuakch01
Georges Niang,SF/PF,3000,2017-10-17,niangge01
Luc Mbah a Moute,SF/PF,3100,2017-10-17,mbahalu01
Jeff Green,SF/PF,3000,2017-10-17,greenje02
Iman Shumpert,PG/SG,3000,2017-10-17,shumpim01
Chris Johnson,SG/SF,3000,2017-10-17,
Kendrick Perkins,C,3000,2017-10-17,perkike01
Shane Larkin,PG,3000,2017-10-17,larkish01
Walter Tavares,C,3000,2017-10-17,
Richard Jefferson,SF/PF,3000,2017-10-17,jefferi01
Jonathan Holmes,PF,3000,2017-10-17,
Isaiah Taylor,PG,3000,2017-10-17,taylois01
Kevon Looney,SF/PF,3000,2017-10-17,looneke01
Damian Jones,C,3000,2017-10-17,jonesda03
David West,PF,3100,2017-10-17,westda01
Kay Felder,PG,3000,2017-10-17,feldeka01
John Holland,SG,3000,2017-10-17,hollajo02
Michael Gbinije,PG/SG,3000,2017-10-17,
Demetrius Jackson,PG,3000,2017-10-17,jacksde01
Darrell Arthur,PF,3000,2017-10-18,arthuda01
Davon Reed,SG,3000,2017-10-18,reedda01
Jared Dudley,PF,3000,2017-10-18,dudleja01
Alec Peters,PF,3000,2017-10-18,peteral01
Mike James,PG,3000,2017-10-18,jamesmi02
Troy Daniels,SG,3000,2017-10-18,danietr01
Derrick Jones Jr.,SF,3000,2017-10-18,jonesde02
Dragan Bender,PF/C,3000,2017-10-18,bendedr01
Eric Griffin,SF/PF,3000,2017-10-18,
Nate Wolters,PG,3000,2017-10-18,woltena01
Royce O'Neale,SF/PF,3000,2017-10-18,onealro01
Dante Exum,PG/SG,3000,2017-10-18,exumda01
Brandon Knight,PG/SG,3000,2017-10-18,knighbr03
Ekpe Udoh,PF/C,3000,2017-10-18,udohek01
Tony Bradley,PF/C,3000,2017-10-18,bradlto01
Edmond Sumner,PG,3000,2017-10-18,sumneed01
Meyers Leonard,PF/C,3000,2017-10-18,leoname01
Monte Morris,PG,3000,2017-10-18,morrimo01
Jordan Mickey,PF/C,3000,2017-10-18,mickejo01
Jacob Wiley,PG,3000,2017-10-18,wileyja01
Tyler Zeller,C,3000,2017-10-18,zellety01
Yakuba Ouattara,SG,3000,2017-10-18,
Isaiah Whitehead,PG/SG,3000,2017-10-18,whiteis01
Pat Connaughton,SG/SF,3000,2017-10-18,connapa01
Joe Harris,SG/SF,3000,2017-10-18,harrijo01
Damien Wilkins,SG,3000,2017-10-18,wilkida02
Joseph Young,SG,3000,2017-10-18,youngjo01
Ike Anigbogu,PF/C,3000,2017-10-18,anigbik01
Alex Poythress,SF,3000,2017-10-18,poythal01
Jake Layman,SF/PF,3000,2017-10-18,laymaja01
C.J. Wilcox,SG/SF,3000,2017-10-18,
Quincy Acy,PF/C,3000,2017-10-18,acyqu01
Malik Beasley,PG,3000,2017-10-18,beaslma01
Mangok Mathiang,PF,3000,2017-10-18,mathima01
Torrey Craig,SG,3000,2017-10-18,craigto01
Johnny O'Bryant,PF/C,3000,2017-10-18,obryajo01
Julyan Stone,PG/SG,3000,2017-10-18,stoneju01
Marcus Paige,PG,3000,2017-10-18,paigema01
Dwight Buyks,PG/SG,3000,2017-10-18,buyckdw01
Eric Moreland,PF/C,3000,2017-10-18,moreler01
Langston Galloway,PG/SG,3000,2017-10-18,gallola01
Treveon Graham,SG/SF,3000,2017-10-18,grahatr01
Anthony Tolliver,SF/PF,3000,2017-10-18,tollian01
Luis Montero,SF,3000,2017-10-18,montelu01
Dillon Brooks,SG/SF,3100,2017-10-18,brookdi01
D.J. Augustin,PG/SG,3100,2017-10-18,augusdj01
Ed Davis,PF/C,3100,2017-10-18,davised01
Raulzinho Neto,PG,3100,2017-10-18,netora01
Matthew Dellavedova,PG/SG,3100,2017-10-18,dellama01
Reggie Bullock,SG/SF,3000,2017-10-18,bullore01
Tyler Lydon,PF,3000,2017-10-18,lydonty01
Matt Williams,SG,3000,2017-10-18,willima05
Guerschon Yabusele,PF/C,3000,2017-10-18,yabusgu01
Jameer Nelson,PG/SG,3000,2017-10-18,nelsoja01
Trey Lyles,SF/PF,3000,2017-10-18,lylestr01
DeAndre Liggins,PG/SG,3000,2017-10-18,liggide01
D.J. Wilson,SF/PF,3000,2017-10-18,wilsodj01
Jason Terry,PG/SG,3000,2017-10-18,terryja01
Sterling Brown,SG,3000,2017-10-18,brownst02
Dwayne Bacon,SG/SF,3000,2017-10-18,bacondw01
Mirza Teletovic,SF/PF,3000,2017-10-18,teletmi01
Shane Larkin,PG,3000,2017-10-18,larkish01
Semi Ojeleye,SG/SF,3000,2017-10-18,ojelese01
Kadeem Allen,SG,3000,2017-10-18,allenka01
Abdel Nader,PF,3000,2017-10-18,naderab01
Jabari Bird,SG,3000,2017-10-18,birdja01
Daniel Theis,PF/C,3000,2017-10-18,theisda01
Rashad Vaughn,PG/SG,3000,2017-10-18,vaughra01
Okaro White,SF/PF,3000,2017-10-18,whiteok01
Michael Young,PF,3000,2017-10-18,
Bam Adebayo,PF/C,3000,2017-10-18,adebaba01
Henry Ellenson,PF/C,3100,2017-10-18,ellenhe01
Alexis Ajinca,C,3000,2017-10-18,
Ivan Rabb,PF/C,3000,2017-10-18,rabbiv01
Vince Hunter,PF,3000,2017-10-18,huntevi01
Kobi Simmons,PG/SG,3000,2017-10-18,simmoko01
Wayne Selden,SG/SF,3000,2017-10-18,seldewa01
Deyonta Davis,PF/C,3000,2017-10-18,davisde01
Malcolm Delaney,PG/SG,3000,2017-10-18,delanma01
Miles Plumlee,C,3000,2017-10-18,plumlmi01
Tyler Dorsey,PG/SG,3000,2017-10-18,dorsety01
Nicolas Brussino,SG/SF,3000,2017-10-18,brussni01
Josh Magette,PG,3000,2017-10-18,magetjo01
Luke Babbitt,SF/PF,3000,2017-10-18,babbilu01
Maxi Kleber,PF,3000,2017-10-18,klebima01
Jeff Withey,C,3000,2017-10-18,witheje01
Dorian Finney-Smith,SF,3000,2017-10-18,finnedo01
Johnathan Motley,SF,3000,2017-10-18,motlejo01
Darrun Hilliard,SG,3000,2017-10-18,hillida01
Brandon Paul,PG/SG,3000,2017-10-18,paulbr01
Joffrey Lauvergne,PF/C,3000,2017-10-18,lauvejo01
Derrick White,PG/SG,3000,2017-10-18,whitede01
Matt Costello,PF,3000,2017-10-18,costema01
Cole Aldrich,C,3000,2017-10-18,aldrico01
Frank Jackson,PG,3000,2017-10-18,jacksfr01
Anthony Brown,SG/SF,3000,2017-10-18,brownan02
Marcus Georges-Hunt,SG/SF,3000,2017-10-18,georgma01
Justin Patton,C,3000,2017-10-18,pattoju01
Tyus Jones,PG/SG,3000,2017-10-18,jonesty01
Salah Mejri,C,3000,2017-10-18,mejrisa01
Devin Harris,PG/SG,3000,2017-10-18,harride01
Josh McRoberts,PF/C,3000,2017-10-18,mcrobjo01
Aaron Brooks,PG/SG,3000,2017-10-18,brookaa01
Dante Cunningham,SF/PF,3000,2017-10-18,cunnida01
Darius Miller,SF,3000,2017-10-18,milleda01
Solomon Hill,SF/PF,3000,2017-10-18,hillso01
Tomas Satoransky,PG/SG,3000,2017-10-18,satorto01
Nik Stauskas,PG/SG,3000,2017-10-18,stausni01
Jacob Pullen,PG,3000,2017-10-18,pulleja01
James McAdoo,SF/PF,3000,2017-10-18,mcadoja01
Justin Anderson,SF/PF,3000,2017-10-18,anderju01
Furkan Korkmaz,SG/SF,3000,2017-10-18,korkmfu01
Chris McCullough,PF/C,3000,2017-10-18,mcculch01
Jamel Artis,SG/SF,3000,2017-10-18,artisja01
Marreese Speights,PF/C,3000,2017-10-18,speigma01
Adreian Payne,PF,3000,2017-10-18,paynead01
Shelvin Mack,PG,3000,2017-10-18,macksh01
Wesley Iwundu,SG/SF,3000,2017-10-18,iwundwe01
A.J. Hammons,C,3000,2017-10-18,
Udonis Haslem,PF/C,3000,2017-10-18,hasleud01
Khem Birch,PF,3000,2017-10-18,birchkh01
Derrick Walton Jr.,PG,3000,2017-10-18,waltode01
Sheldon McClellan,SG,3000,2017-10-18,
Mike Scott,PF,3000,2017-10-18,scottmi01
Jalen Jones,SF,3000,2017-10-18,jonesja04
Charles Cooke,SG,3000,2017-10-18,cookech01
Malachi Richardson,SG/SF,3000,2017-10-18,richama01
JaKarr Sampson,SF/PF,3000,2017-10-18,sampsja02
Georgios Papagiannis,C,3000,2017-10-18,papagge01
Vince Carter,SG,3000,2017-10-18,cartevi01
Carrick Felix,SG,3000,2017-10-18,
Jack Cooley,PF,3000,2017-10-18,cooleja01
Frank Mason III,PG/SG,3000,2017-10-18,masonfr01
Demetrius Jackson,PG,3000,2017-10-18,jacksde01
Chinanu Onuaku,PF/C,3000,2017-10-18,onuakch01
Troy Williams,SG,3000,2017-10-18,willitr02
Zhou Qi,PF,3000,2017-10-18,qizh01
Devin Robinson,SG,3000,2017-10-18,robinde01
Harry Giles,PF/C,3000,2017-10-18,gilesha01
Omer Asik,C,3000,2017-10-18,asikom01
Anthony Davis,PF/C,10500,2017-10-18,davisan02
Jarell Martin,PF,3200,2017-10-18,martija01
Dirk Nowitzki,PF/C,5200,2017-10-18,nowitdi01
JaMychal Green,SF/PF,5200,2017-10-18,greenja01
Marcin Gortat,C,5200,2017-10-18,gortama01
James Johnson,PF,5200,2017-10-18,johnsja01
Nerlens Noel,C,5300,2017-10-18,noelne01
Tyreke Evans,SG/SF,5300,2017-10-18,evansty01
Darren Collison,PG,5300,2017-10-18,collida01
T.J. Warren,SF,5300,2017-10-18,warretj01
Will Barton,SG/SF,5300,2017-10-18,bartowi01
Reggie Jackson,PG,5300,2017-10-18,jacksre01
Rajon Rondo,PG,5400,2017-10-18,rondora01
Greg Monroe,PF/C,5400,2017-10-18,monrogr01
Rudy Gay,SF/PF,5500,2017-10-18,gayru01
George Hill,PG/SG,5500,2017-10-18,hillge01
Evan Turner,SG/SF,5500,2017-10-18,turneev01
Derrick Favors,PF/C,5500,2017-10-18,favorde01
Avery Bradley,PG/SG,5500,2017-10-18,bradlav01
Kent Bazemore,SG/SF,5600,2017-10-18,bazemke01
Zach Randolph,PF/C,5600,2017-10-18,randoza01
Dion Waiters,SG/SF,5600,2017-10-18,waitedi01
Jamal Murray,PG/SG,5600,2017-10-18,murraja01
Tobias Harris,SF/PF,5600,2017-10-18,harrito02
Harrison Barnes,SF/PF,5700,2017-10-18,barneha02
Malcolm Brogdon,PG/SG,5100,2017-10-18,brogdma01
Marquese Chriss,PF/C,5100,2017-10-18,chrisma01
Al-Farouq Aminu,SF/PF,5100,2017-10-18,aminual01
Evan Fournier,SG/SF,5100,2017-10-18,fournev01
Allen Crabbe,SG/SF,4600,2017-10-18,crabbal01
Maurice Harkless,SF/PF,4600,2017-10-18,harklma01
Frank Kaminsky,PF/C,4600,2017-10-18,kaminfr01
Patrick Mills,PG,4700,2017-10-18,millspa02
Kyle Anderson,SG/SF,4700,2017-10-18,anderky01
Ersan Ilyasova,SF/PF,4800,2017-10-18,ilyaser01
Skal Labissiere,PF/C,4800,2017-10-18,labissk01
Eric Gordon,SG,4800,2017-10-18,gordoer01
Tyler Johnson,PG/SG,4800,2017-10-18,johnsty01
Kelly Olynyk,PF/C,4800,2017-10-18,olynyke01
Lance Stephenson,SG/SF,4800,2017-10-18,stephla01
De'Aaron Fox,PG,5700,2017-10-18,foxde01
Wesley Matthews,SG/SF,4900,2017-10-18,matthwe02
Josh Richardson,SG/SF,4900,2017-10-18,richajo01
Josh Jackson,SF/PF,4900,2017-10-18,jacksjo02
Taurean Prince,SG/SF,5000,2017-10-18,princta02
Markieff Morris,SF/PF,5000,2017-10-18,morrima02
Robert Covington,SG/SF,5000,2017-10-18,covinro01
Rondae Hollis-Jefferson,SF/PF,5000,2017-10-18,holliro01
Wilson Chandler,SF/PF,5000,2017-10-18,chandwi01
Jabari Parker,SF/PF,5000,2017-10-18,parkeja01
Marcus Smart,PG/SG,5000,2017-10-18,smartma01
Marvin Williams,SF/PF,5000,2017-10-18,willima02
Buddy Hield,SG/SF,5100,2017-10-18,hieldbu01
Trevor Ariza,SF/PF,4900,2017-10-18,arizatr01
John Collins,PF/C,4600,2017-10-18,collijo01
Otto Porter,SF/PF,5700,2017-10-18,porteot01
Thaddeus Young,PF,5700,2017-10-18,youngth01
Joel Embiid,C,7300,2017-10-18,embiijo01
Dennis Schroder,PG,7400,2017-10-18,schrode01
Nikola Vucevic,C,7400,2017-10-18,vucevni01
Jusuf Nurkic,C,7500,2017-10-18,nurkiju01
Eric Bledsoe,PG/SG,7600,2017-10-18,bledser01
Andre Drummond,C,7600,2017-10-18,drumman01
Mike Conley,PG,7700,2017-10-18,conlemi01
Myles Turner,C,7700,2017-10-18,turnemy01
Marc Gasol,C,7800,2017-10-18,gasolma01
Kemba Walker,PG,7900,2017-10-18,walkeke02
Chris Paul,PG,8000,2017-10-18,paulch01
Jimmy Butler,SG,8100,2017-10-18,butleji01
Kawhi Leonard,SF/PF,8200,2017-10-18,leonaka01
Hassan Whiteside,C,8400,2017-10-18,whiteha01
Kyrie Irving,PG,8500,2017-10-18,irvinky01
Rudy Gobert,C,8800,2017-10-18,goberru01
Nikola Jokic,PF/C,9100,2017-10-18,jokicni01
Karl-Anthony Towns,C,9400,2017-10-18,townska01
John Wall,PG,9800,2017-10-18,walljo01
DeMarcus Cousins,PF/C,10000,2017-10-18,couside01
James Harden,SG,10200,2017-10-18,hardeja01
Giannis Antetokounmpo,PG/SF,10300,2017-10-18,antetgi01
Damian Lillard,PG,10400,2017-10-18,lillada01
LaMarcus Aldridge,PF/C,7300,2017-10-18,aldrila01
Paul Millsap,PF,7200,2017-10-18,millspa01
C.J. McCollum,SG,7200,2017-10-18,mccolcj01
Goran Dragic,PG,7100,2017-10-18,dragigo01
Gary Harris,SG,5700,2017-10-18,harriga01
Jeremy Lamb,SG/SF,5700,2017-10-18,lambje01
Pau Gasol,PF/C,5800,2017-10-18,gasolpa01
Jeff Teague,PG,5800,2017-10-18,teaguje01
Clint Capela,C,5800,2017-10-18,capelca01
Rodney Hood,SG/SF,5800,2017-10-18,hoodro01
Willie Cauley-Stein,PF/C,5900,2017-10-18,caulewi01
Andrew Wiggins,SF/PF,6000,2017-10-18,wiggian01
Markelle Fultz,PG/SG,6100,2017-10-18,fultzma01
Al Horford,PF/C,6200,2017-10-18,horfoal01
Jeremy Lin,SG,6300,2017-10-18,linje01
Dario Saric,SF/PF,5700,2017-10-18,saricda01
Khris Middleton,SG/SF,6400,2017-10-18,middlkh01
D'Angelo Russell,PG,6600,2017-10-18,russeda01
Gordon Hayward,SF,6700,2017-10-18,haywago01
Dennis Smith Jr.,PG/SG,6800,2017-10-18,smithde03
Victor Oladipo,SG,6800,2017-10-18,oladivi01
Aaron Gordon,SF/PF,6900,2017-10-18,gordoaa01
Jrue Holiday,PG,7000,2017-10-18,holidjr01
Bradley Beal,SG,7000,2017-10-18,bealbr01
Devin Booker,SG,7000,2017-10-18,bookede01
Ricky Rubio,PG,7000,2017-10-18,rubiori01
Ben Simmons,PG/SF,7100,2017-10-18,simmobe01
Elfrid Payton,PG,7100,2017-10-18,paytoel01
Dwight Howard,C,6500,2017-10-18,howardw01
James Ennis,SG/SF,3200,2017-10-18,ennisja01
Michael Kidd-Gilchrist,SF,4500,2017-10-18,kiddgmi01
J.J. Redick,SG,4500,2017-10-18,redicjj01
Ian Clark,PG/SG,3500,2017-10-18,clarkia01
Kosta Koufos,C,3500,2017-10-18,koufoko01
P.J. Tucker,SF/PF,3500,2017-10-18,tuckepj01
Nene Hilario,C,3500,2017-10-18,hilarne01
Timothe Luwawu-Cabarrot,SG/SF,3500,2017-10-18,luwawti01
Mario Hezonja,SG,3500,2017-10-18,hezonma01
Spencer Dinwiddie,PG/SG,3500,2017-10-18,dinwisp01
Al Jefferson,PF/C,3500,2017-10-18,jeffeal01
Noah Vonleh,PF/C,3500,2017-10-18,vonleno01
John Henson,C,3500,2017-10-18,hensojo01
Manu Ginobili,SG/SF,3600,2017-10-18,ginobma01
Ben McLemore,SG/SF,3600,2017-10-18,mclembe01
Andrew Harrison,PG/SG,3600,2017-10-18,harrian01
E'Twaun Moore,SG/SF,3600,2017-10-18,mooreet01
Amir Johnson,PF/C,3600,2017-10-18,johnsam01
Alec Burks,PG/SG,3600,2017-10-18,burksal01
Tony Snell,SG/SF,3600,2017-10-18,snellto01
Tony Parker,PG,3700,2017-10-18,parketo01
Davis Bertans,SF/PF,3700,2017-10-18,bertada01
Jamal Crawford,SG,3700,2017-10-18,crawfja01
Bobby Brown,PG,3700,2017-10-18,brownbo02
Tim Frazier,PG,3700,2017-10-18,fraziti01
Jonas Jerebko,SF/PF,3700,2017-10-18,jerebjo01
Tony Allen,SG/SF,3500,2017-10-18,allento01
Mario Chalmers,PG,3500,2017-10-18,chalmma01
Mike Muscala,C,3500,2017-10-18,muscami01
Bryn Forbes,PG/SG,3500,2017-10-18,forbebr01
Luc Mbah a Moute,SF/PF,3200,2017-10-18,mbahalu01
Rodney McGruder,SG/SF,3200,2017-10-18,mcgruro01
TJ Leaf,SF/PF,3200,2017-10-18,leaftj01
Domantas Sabonis,PF/C,3200,2017-10-18,sabondo01
Thabo Sefolosha,SG/SF,3200,2017-10-18,sefolth01
Michael Carter-Williams,PG,3200,2017-10-18,cartemi01
Luke Kennard,SG,3200,2017-10-18,kennalu01
Nemanja Bjelica,SF/PF,3300,2017-10-18,bjeline01
Marco Belinelli,SG,3300,2017-10-18,belinma01
DeAndre Bembry,SG/SF,3300,2017-10-18,bembrde01
Tarik Black,PF/C,3300,2017-10-18,blackta01
Mason Plumlee,PF/C,3700,2017-10-18,plumlma01
Jodie Meeks,SG,3300,2017-10-18,meeksjo01
Wayne Ellington,SG/SF,3300,2017-10-18,ellinwa01
Shabazz Napier,PG/SG,3300,2017-10-18,napiesh01
Aron Baynes,C,3300,2017-10-18,baynear01
Dwight Powell,PF/C,3400,2017-10-18,poweldw01
Gian Clavell,PG,3400,2017-10-18,clavegi01
Brandan Wright,PF/C,3400,2017-10-18,wrighbr03
Cheick Diallo,PF,3400,2017-10-18,diallch01
Justin Jackson,SG/SF,3400,2017-10-18,jacksju01
T.J. McConnell,PG,3400,2017-10-18,mccontj01
Zach Collins,PF/C,3400,2017-10-18,colliza01
Alan Williams,PF/C,3400,2017-10-18,willial03
Arron Afflalo,SG/SF,3300,2017-10-18,afflaar01
Joe Ingles,SG/SF,4500,2017-10-18,inglejo01
Malik Monk,PG/SG,3700,2017-10-18,monkma01
Garrett Temple,PG/SF,3800,2017-10-18,templga01
Chandler Parsons,SF/PF,4100,2017-10-18,parsoch01
Caris LeVert,PG/SF,4100,2017-10-18,leverca01
Alex Len,PF/C,4100,2017-10-18,lenal01
Jayson Tatum,SF/PF,4100,2017-10-18,tatumja01
Cody Zeller,C,4100,2017-10-18,zelleco01
Ishmael Smith,PG,4100,2017-10-18,smithis01
Ryan Anderson,PF,4200,2017-10-18,anderry01
Tyson Chandler,C,4200,2017-10-18,chandty01
Juan Hernangomez,SF/PF,4200,2017-10-18,hernaju01
Jon Leuer,PF/C,4200,2017-10-18,leuerjo01
Taj Gibson,PF/C,4300,2017-10-18,gibsota01
Seth Curry,PG/SG,4300,2017-10-18,curryse01
Jonathon Simmons,SG/SF,4300,2017-10-18,simmojo02
Justise Winslow,SF/PF,4300,2017-10-18,winslju01
Sean Kilpatrick,PG/SG,4300,2017-10-18,kilpase01
Emmanuel Mudiay,PG,4300,2017-10-18,mudiaem01
Juan Jose Barea,PG/SG,4400,2017-10-18,bareajo01
Trevor Booker,PF/C,4400,2017-10-18,booketr01
Bojan Bogdanovic,SF/PF,4400,2017-10-18,bogdabo02
Caleb Swanigan,PF,4400,2017-10-18,swanica01
Yogi Ferrell,PG/SG,4500,2017-10-18,ferreyo01
Dewayne Dedmon,C,4500,2017-10-18,dedmode01
Bogdan Bogdanovic,SG/SF,4500,2017-10-18,bogdabo01
Dejounte Murray,PG,4100,2017-10-18,murrade01
Stanley Johnson,SG/SF,4000,2017-10-18,johnsst04
Nicolas Batum,SG/SF,4000,2017-10-18,batumni01
Tyler Ulis,PG,4000,2017-10-18,ulisty01
Kelly Oubre Jr.,SG/SF,3800,2017-10-18,oubreke01
Jerryd Bayless,PG/SG,3800,2017-10-18,bayleje01
Jahlil Okafor,C,3800,2017-10-18,okafoja01
Bismack Biyombo,PF/C,3800,2017-10-18,biyombi01
Jarrett Allen,PF/C,3800,2017-10-18,allenja01
Glenn Robinson III,SG/SF,3800,2017-10-18,robingl02
Joe Johnson,SG/SF,3800,2017-10-18,johnsjo02
Thon Maker,PF/C,3800,2017-10-18,makerth01
Terry Rozier,PG/SG,3800,2017-10-18,roziete01
Jordan Crawford,PG/SG,3900,2017-10-18,crawfjo02
Ian Mahinmi,C,3900,2017-10-18,mahinia01
Boban Marjanovic,C,3700,2017-10-18,marjabo01
Richaun Holmes,PF/C,3900,2017-10-18,holmeri01
Donovan Mitchell,PG/SG,3900,2017-10-18,mitchdo01
Kenneth Faried,PF/C,3900,2017-10-18,farieke01
Jaylen Brown,SG/SF,3900,2017-10-18,brownja02
Marcus Morris,SF/PF,3900,2017-10-18,morrima03
Danny Green,SG/SF,4000,2017-10-18,greenda02
Gorgui Dieng,PF/C,4000,2017-10-18,dienggo01
Jason Smith,PF/C,4000,2017-10-18,smithja02
Terrence Ross,SG/SF,4000,2017-10-18,rosste01
Jonathan Isaac,SF/PF,4000,2017-10-18,isaacjo01
DeMarre Carroll,SF/PF,4000,2017-10-18,carrode01
Cory Joseph,PG,4000,2017-10-18,josepco01
Timofey Mozgov,C,3900,2017-10-18,mozgoti01
Shabazz Muhammad,SG/SF,3200,2017-10-18,muhamsh01
Russell Westbrook,PG,11000,2017-10-19,westbru01
Blake Griffin,PF/C,9600,2017-10-19,griffbl01
DeMar DeRozan,SG/SF,8300,2017-10-19,derozde01
Paul George,SF,8100,2017-10-19,georgpa01
Kyle Lowry,PG,7900,2017-10-19,lowryky01
Kristaps Porzingis,PF/C,7700,2017-10-19,porzikr01
DeAndre Jordan,C,7500,2017-10-19,jordade01
Carmelo Anthony,SF/PF,7200,2017-10-19,anthoca01
Lonzo Ball,PG,6800,2017-10-19,balllo01
Brook Lopez,C,6500,2017-10-19,lopezbr01
Danilo Gallinari,SF,6200,2017-10-19,gallida01
Bobby Portis,PF,6000,2017-10-19,portibo01
Justin Holiday,SG/SF,5900,2017-10-19,holidju01
Julius Randle,PF/C,5800,2017-10-19,randlju01
Tim Hardaway Jr.,SG/SF,5800,2017-10-19,hardati02
Steven Adams,C,5700,2017-10-19,adamsst01
Enes Kanter,PF/C,5600,2017-10-19,kanteen01
Lauri Markkanen,PF,5600,2017-10-19,markkla01
Nikola Mirotic,PF/C,5500,2017-10-19,mirotni01
Serge Ibaka,PF/C,5400,2017-10-19,ibakase01
Jerian Grant,PG/SG,5300,2017-10-19,grantje02
Robin Lopez,C,5200,2017-10-19,lopezro01
Brandon Ingram,SG/SF,5100,2017-10-19,ingrabr01
Louis Williams,PG/SG,5000,2017-10-19,willilo02
Kris Dunn,PG,5000,2017-10-19,dunnkr01
Guillermo Hernangomez,PF/C,5000,2017-10-19,hernawi01
Denzel Valentine,SG/SF,4900,2017-10-19,valende01
Milos Teodosic,PG/SG,4900,2017-10-19,teodomi01
Patrick Beverley,PG/SG,4800,2017-10-19,beverpa01
Jonas Valanciunas,C,4800,2017-10-19,valanjo01
Kyle Kuzma,SF/PF,4800,2017-10-19,kuzmaky01
Norman Powell,SG/SF,4700,2017-10-19,powelno01
Austin Rivers,PG/SG,4600,2017-10-19,riverau01
Zach LaVine,PG/SG,4500,2017-10-19,lavinza01
Kentavious Caldwell-Pope,SG,4400,2017-10-19,caldwke01
Jordan Clarkson,PG/SG,4300,2017-10-19,clarkjo01
Larry Nance Jr.,SF/PF,4300,2017-10-19,nancela02
Paul Zipser,SF/PF,4200,2017-10-19,zipsepa01
Ramon Sessions,PG,4100,2017-10-19,sessira01
Joakim Noah,C,4000,2017-10-19,noahjo01
Courtney Lee,SG/SF,4000,2017-10-19,leeco01
Cristiano Da Silva Felicio,PF/C,4000,2017-10-19,feliccr01
Michael Beasley,SF/PF,3900,2017-10-19,beaslmi01
Ivica Zubac,C,3800,2017-10-19,zubaciv01
Luol Deng,SF/PF,3700,2017-10-19,denglu01
C.J. Miles,SG/SF,3700,2017-10-19,milescj01
Andre Roberson,SG/SF,3700,2017-10-19,roberan03
Doug McDermott,SF/PF,3700,2017-10-19,mcderdo01
