player,pos,salary,date
Giannis Antetokounmpo,SF/PF,11000,2018-01-01
Karl-Anthony Towns,C,9700,2018-01-01
Jimmy Butler,SG,8700,2018-01-01
Damian Lillard,PG,8300,2018-01-01
Aaron Gordon,SF/PF,7900,2018-01-01
Nikola Vucevic,C,7800,2018-01-01
DeMar DeRozan,SG/SF,7700,2018-01-01
Kyle Lowry,PG,7400,2018-01-01
C.J. McCollum,PG/SG,7300,2018-01-01
Kris Dunn,PG/SG,7200,2018-01-01
Elfrid Payton,PG,7100,2018-01-01
Khris Middleton,SG/SF,7100,2018-01-01
Eric Bledsoe,PG/SG,7000,2018-01-01
Kyle Kuzma,SF/PF,6900,2018-01-01
Lonzo Ball,PG,6900,2018-01-01
Jusuf Nurkic,C,6800,2018-01-01
D'Angelo Russell,PG/SG,6800,2018-01-01
Jordan Clarkson,PG/SG,6700,2018-01-01
Nikola Mirotic,PF/C,6600,2018-01-01
Brandon Ingram,SG/SF,6500,2018-01-01
Rondae Hollis-Jefferson,SF/PF,6300,2018-01-01
Spencer Dinwiddie,PG/SG,6200,2018-01-01
Jonathon Simmons,SG/SF,6100,2018-01-01
Jeff Teague,PG,6000,2018-01-01
Evan Fournier,SG/SF,5900,2018-01-01
Lauri Markkanen,PF,5800,2018-01-01
Caris LeVert,SG/SF,5700,2018-01-01
Taj Gibson,PF/C,5700,2018-01-01
Bismack Biyombo,PF/C,5600,2018-01-01
Tyus Jones,PG/SG,5600,2018-01-01
Andrew Wiggins,SG/SF,5600,2018-01-01
Shabazz Napier,PG/SG,5500,2018-01-01
Serge Ibaka,PF/C,5500,2018-01-01
Jonas Valanciunas,C,5300,2018-01-01
Justin Holiday,SG/SF,5200,2018-01-01
Kentavious Caldwell-Pope,SG,5100,2018-01-01
Jabari Parker,SF/PF,5100,2018-01-01
Julius Randle,PF/C,5000,2018-01-01
DeMarre Carroll,SF/PF,4900,2018-01-01
Malcolm Brogdon,PG/SG,4900,2018-01-01
Josh Hart,PG/SG,4800,2018-01-01
Jerian Grant,PG/SG,4700,2018-01-01
Robin Lopez,C,4700,2018-01-01
Zach LaVine,PG/SG,4600,2018-01-01
Brook Lopez,C,4600,2018-01-01
Denzel Valentine,PG/SF,4500,2018-01-01
Al-Farouq Aminu,SF/PF,4500,2018-01-01
John Henson,C,4500,2018-01-01
Bobby Portis,PF/C,4400,2018-01-01
Larry Nance Jr.,SF/PF,4400,2018-01-01
Mario Hezonja,SG,4300,2018-01-01
Jakob Poeltl,PF/C,4300,2018-01-01
Allen Crabbe,SG/SF,4200,2018-01-01
Joe Harris,SG/SF,4100,2018-01-01
Pascal Siakam,PF,4100,2018-01-01
Marreese Speights,PF/C,4000,2018-01-01
David Nwaba,SG/SF,3900,2018-01-01
Evan Turner,SG/SF,3800,2018-01-01
C.J. Miles,SG/SF,3800,2018-01-01
Jamal Crawford,SG,3700,2018-01-01
Gorgui Dieng,PF/C,3700,2018-01-01
Tony Snell,SG/SF,3700,2018-01-01
Delon Wright,PG/SG,3700,2018-01-01
Ed Davis,PF/C,3600,2018-01-01
D.J. Augustin,PG/SG,3600,2018-01-01
Adreian Payne,PF,3600,2018-01-01
OG Anunoby,SF/PF,3600,2018-01-01
Maurice Harkless,SF/PF,3500,2018-01-01
Zach Collins,PF/C,3500,2018-01-01
Jarrett Allen,PF/C,3500,2018-01-01
Nik Stauskas,PG/SG,3500,2018-01-01
Terrence Ross,SG/SF,3500,2018-01-01
Fred VanVleet,PG,3500,2018-01-01
Meyers Leonard,PF/C,3400,2018-01-01
Tyler Zeller,C,3400,2018-01-01
Shelvin Mack,PG/SG,3400,2018-01-01
Arron Afflalo,SG/SF,3400,2018-01-01
Corey Brewer,SG/SF,3400,2018-01-01
Shabazz Muhammad,SG/SF,3400,2018-01-01
Norman Powell,SG/SF,3400,2018-01-01
Quincy Acy,PF/C,3300,2018-01-01
Jahlil Okafor,C,3300,2018-01-01
Jonathan Isaac,SF/PF,3300,2018-01-01
Nemanja Bjelica,SF/PF,3300,2018-01-01
Lucas Nogueira,PF,3300,2018-01-01
Pat Connaughton,SG/SF,3200,2018-01-01
Paul Zipser,SG/SF,3200,2018-01-01
Isaiah Whitehead,PG/SG,3200,2018-01-01
Wesley Iwundu,SG/SF,3200,2018-01-01
Ivica Zubac,C,3200,2018-01-01
Matthew Dellavedova,PG/SG,3200,2018-01-01
Mirza Teletovic,SF/PF,3100,2018-01-01
Ryan Arcidiacono,PG,3000,2018-01-01
Cristiano Da Silva Felicio,PF/C,3000,2018-01-01
Cameron Payne,PG/SG,3000,2018-01-01
Quincy Pondexter,SG/SF,3000,2018-01-01
Antonio Blakeney,PG,3000,2018-01-01
Noah Vonleh,PF/C,3000,2018-01-01
Wade Baldwin,PG/SG,3000,2018-01-01
Jake Layman,SF/PF,3000,2018-01-01
Caleb Swanigan,PF,3000,2018-01-01
C.J. Wilcox,SG/SF,3000,2018-01-01
Timofey Mozgov,C,3000,2018-01-01
Milton Doyle,PG,3000,2018-01-01
Jeremy Lin,PG/SG,3000,2018-01-01
Jacob Wiley,PG,3000,2018-01-01
Jamel Artis,SG/SF,3000,2018-01-01
Khem Birch,PF/C,3000,2018-01-01
Cole Aldrich,C,3000,2018-01-01
Luol Deng,SF/PF,3000,2018-01-01
Justin Patton,C,3000,2018-01-01
Marcus Georges-Hunt,SG/SF,3000,2018-01-01
Aaron Brooks,PG/SG,3000,2018-01-01
Alex Caruso,PG/SG,3000,2018-01-01
Andrew Bogut,C,3000,2018-01-01
Tyler Ennis,PG/SG,3000,2018-01-01
Vander Blue,PG/SG,3000,2018-01-01
Thomas Bryant,PF/C,3000,2018-01-01
Anthony Brown,SG/SF,3000,2018-01-01
Thon Maker,PF/C,3000,2018-01-01
Sean Kilpatrick,PG/SG,3000,2018-01-01
Lorenzo Brown,PG,3000,2018-01-01
Malcolm Miller,PF,3000,2018-01-01
Bruno Caboclo,SF,3000,2018-01-01
DeAndre Liggins,SG/SF,3000,2018-01-01
Alfonzo McKinnie,PF,3000,2018-01-01
D.J. Wilson,PF/C,3000,2018-01-01
Rashad Vaughn,SG/SF,3000,2018-01-01
Jason Terry,PG/SG,3000,2018-01-01
Joel Bolomboy,PF,3000,2018-01-01
Sterling Brown,SG,3000,2018-01-01
LeBron James,SF/PF,11700,2018-01-02
Devin Booker,SG/SF,9100,2018-01-02
Kevin Love,PF/C,8700,2018-01-02
Damian Lillard,PG,8500,2018-01-02
Blake Griffin,PF/C,8400,2018-01-02
Kristaps Porzingis,PF/C,8300,2018-01-02
Tyreke Evans,PG/SG,8200,2018-01-02
Marc Gasol,C,8000,2018-01-02
LaMarcus Aldridge,PF/C,7600,2018-01-02
Louis Williams,PG/SG,7500,2018-01-02
Kemba Walker,PG,7500,2018-01-02
Dwight Howard,C,7400,2018-01-02
DeAndre Jordan,C,7400,2018-01-02
Dennis Schroder,PG,7300,2018-01-02
C.J. McCollum,PG/SG,7300,2018-01-02
Jusuf Nurkic,C,7000,2018-01-02
Pau Gasol,PF/C,6900,2018-01-02
T.J. Warren,SF/PF,6800,2018-01-02
Austin Rivers,PG/SG,6700,2018-01-02
Kawhi Leonard,SF/PF,6700,2018-01-02
Mike Conley,PG,6600,2018-01-02
Shabazz Napier,PG/SG,6600,2018-01-02
Willie Cauley-Stein,PF/C,6500,2018-01-02
Enes Kanter,PF/C,6300,2018-01-02
Nicolas Batum,SG/SF,6200,2018-01-02
Zach Randolph,PF/C,6100,2018-01-02
Kent Bazemore,SG/SF,6000,2018-01-02
Isaiah Thomas,PG,5900,2018-01-02
Danilo Gallinari,SF/PF,5900,2018-01-02
Tim Hardaway Jr.,SG/SF,5900,2018-01-02
Milos Teodosic,PG/SG,5700,2018-01-02
Taurean Prince,SG/SF,5500,2018-01-02
Courtney Lee,SG/SF,5400,2018-01-02
Dewayne Dedmon,C,5300,2018-01-02
Jeremy Lamb,SG/SF,5200,2018-01-02
Ersan Ilyasova,SF/PF,5100,2018-01-02
Kyle Anderson,PG/SF,4900,2018-01-02
John Collins,PF/C,4900,2018-01-02
Dwyane Wade,PG/SG,4800,2018-01-02
Alex Len,PF/C,4700,2018-01-02
Rudy Gay,SF/PF,4600,2018-01-02
George Hill,PG/SG,4600,2018-01-02
JaMychal Green,SF/PF,4600,2018-01-02
Michael Beasley,SF/PF,4600,2018-01-02
Marquese Chriss,PF/C,4600,2018-01-02
Al-Farouq Aminu,SF/PF,4500,2018-01-02
Greg Monroe,PF/C,4500,2018-01-02
Buddy Hield,SG/SF,4500,2018-01-02
Bogdan Bogdanovic,SG/SF,4500,2018-01-02
Tyson Chandler,C,4400,2018-01-02
Jarrett Jack,PG,4400,2018-01-02
Danny Green,SG/SF,4300,2018-01-02
Frank Kaminsky,PF/C,4300,2018-01-02
Jarell Martin,PF/C,4300,2018-01-02
Andrew Harrison,PG/SG,4300,2018-01-02
Frank Ntilikina,PG/SG,4300,2018-01-02
Isaiah Canaan,PG/SG,4200,2018-01-02
De'Aaron Fox,PG,4200,2018-01-02
Tony Parker,PG,4100,2018-01-02
Michael Kidd-Gilchrist,SF,4100,2018-01-02
Dejounte Murray,PG,4100,2018-01-02
Chandler Parsons,SF/PF,4000,2018-01-02
Wesley Johnson,SG/SF,4000,2018-01-02
Jae Crowder,SF/PF,4000,2018-01-02
Manu Ginobili,SG/SF,3900,2018-01-02
J.R. Smith,SG/SF,3900,2018-01-02
Marvin Williams,SF/PF,3900,2018-01-02
Marco Belinelli,SG,3800,2018-01-02
Patrick Mills,PG,3800,2018-01-02
Jeff Green,SF/PF,3800,2018-01-02
Evan Turner,SG/SF,3800,2018-01-02
Cody Zeller,C,3800,2018-01-02
Garrett Temple,PG/SG,3800,2018-01-02
Jamil Wilson,SF/PF,3800,2018-01-02
Davis Bertans,SF/PF,3800,2018-01-02
Josh Jackson,SG/SF,3800,2018-01-02
Troy Daniels,SG,3700,2018-01-02
Jose Calderon,PG,3700,2018-01-02
Kyle O'Quinn,PF/C,3700,2018-01-02
Montrezl Harrell,PF/C,3700,2018-01-02
Malcolm Delaney,PG/SG,3700,2018-01-02
Isaiah Taylor,PG,3700,2018-01-02
Tyler Ulis,PG,3700,2018-01-02
Jawun Evans,PG,3700,2018-01-02
Dillon Brooks,SG/SF,3700,2018-01-02
Frank Mason III,PG/SG,3700,2018-01-02
Ed Davis,PF/C,3600,2018-01-02
Brandan Wright,PF/C,3600,2018-01-02
Kyle Korver,SG/SF,3600,2018-01-02
Sam Dekker,SF/PF,3600,2018-01-02
C.J. Williams,SG,3600,2018-01-02
Maurice Harkless,SF/PF,3500,2018-01-02
Vince Carter,SG/SF,3500,2018-01-02
Mario Chalmers,PG,3500,2018-01-02
Miles Plumlee,C,3500,2018-01-02
Doug McDermott,SF/PF,3500,2018-01-02
Tristan Thompson,PF/C,3500,2018-01-02
Kobi Simmons,SG,3500,2018-01-02
Zach Collins,PF/C,3500,2018-01-02
Derrick Rose,PG,3400,2018-01-02
Iman Shumpert,PG/SG,3400,2018-01-02
Kosta Koufos,C,3400,2018-01-02
Meyers Leonard,PF/C,3400,2018-01-02
DeAndre Bembry,SG/SF,3400,2018-01-02
Guillermo Hernangomez,PF/C,3400,2018-01-02
Brandon Paul,SG,3400,2018-01-02
Dragan Bender,SF/PF,3400,2018-01-02
Bryn Forbes,PG/SG,3400,2018-01-02
Tyler Cavanaugh,PF,3400,2018-01-02
Channing Frye,PF/C,3300,2018-01-02
Michael Carter-Williams,PG,3300,2018-01-02
James Ennis,SG/SF,3300,2018-01-02
Sindarius Thornwell,SG,3300,2018-01-02
Ben McLemore,SG/SF,3200,2018-01-02
Jared Dudley,PF,3200,2018-01-02
Lance Thomas,SF/PF,3200,2018-01-02
Pat Connaughton,SG/SF,3200,2018-01-02
Ron Baker,PG/SG,3200,2018-01-02
Luke Babbitt,SF/PF,3100,2018-01-02
Damyean Dotson,SG/SF,3100,2018-01-02
Patrick Beverley,PG/SG,3000,2018-01-02
Brandon Knight,PG/SG,3000,2018-01-02
Joakim Noah,C,3000,2018-01-02
Ramon Sessions,PG,3000,2018-01-02
C.J. Wilcox,SG/SF,3000,2018-01-02
JaKarr Sampson,SF/PF,3000,2018-01-02
Noah Vonleh,PF/C,3000,2018-01-02
Mike Muscala,C,3000,2018-01-02
Johnny O'Bryant,PF/C,3000,2018-01-02
Joffrey Lauvergne,PF/C,3000,2018-01-02
Willie Reed,C,3000,2018-01-02
Jack Cooley,PF,3000,2018-01-02
Darrun Hilliard,SG/SF,3000,2018-01-02
Julyan Stone,PG/SG,3000,2018-01-02
Treveon Graham,SG/SF,3000,2018-01-02
Matt Costello,PF,3000,2018-01-02
Josh Magette,PG,3000,2018-01-02
Vince Hunter,PF,3000,2018-01-02
John Holland,SG/SF,3000,2018-01-02
Brice Johnson,PF/C,3000,2018-01-02
Wade Baldwin,PG/SG,3000,2018-01-02
Deyonta Davis,PF/C,3000,2018-01-02
Alan Williams,C,3000,2018-01-02
Jake Layman,SF/PF,3000,2018-01-02
Georgios Papagiannis,C,3000,2018-01-02
Malachi Richardson,SG/SF,3000,2018-01-02
Skal Labissiere,PF/C,3000,2018-01-02
Marcus Paige,PG,3000,2018-01-02
Danuel House,SG/SF,3000,2018-01-02
Wayne Selden,PG/SG,3000,2018-01-02
Tyler Dorsey,PG/SG,3000,2018-01-02
Malik Monk,PG/SG,3000,2018-01-02
