player,pos,salary,date
Anthony Tolliver,SF/PF,3900,2018-02-26
C.J. Miles,SG/SF,3900,2018-02-26
Garrett Temple,SG/SF,3900,2018-02-26
Kyle O'Quinn,PF/C,3900,2018-02-26
Delon Wright,PG/SG,3900,2018-02-26
Marquese Chriss,PF/C,3900,2018-02-26
Wayne Selden,PG/SG,3900,2018-02-26
Gerald Green,SG/SF,3800,2018-02-26
Jamal Crawford,SG,3800,2018-02-26
Deyonta Davis,PF/C,3800,2018-02-26
Pascal Siakam,PF,3800,2018-02-26
Chandler Parsons,SF/PF,3700,2018-02-26
Raymond Felton,PG/SG,3700,2018-02-26
Ian Clark,PG/SG,3700,2018-02-26
David West,PF/C,3700,2018-02-26
P.J. Tucker,SF/PF,3700,2018-02-26
Jerami Grant,SF/PF,3700,2018-02-26
Tyus Jones,PG/SG,3700,2018-02-26
Jahlil Okafor,C,3700,2018-02-26
Jakob Poeltl,PF/C,3700,2018-02-26
Daniel Theis,PF/C,3700,2018-02-26
Frank Ntilikina,PG/SG,3700,2018-02-26
Justin Jackson,SG/SF,3700,2018-02-26
Mario Chalmers,PG,3600,2018-02-26
Andre Iguodala,SG/SF,3600,2018-02-26
Kosta Koufos,C,3600,2018-02-26
Mike Muscala,PF/C,3600,2018-02-26
Cristiano Da Silva Felicio,PF/C,3600,2018-02-26
Isaiah Taylor,PG,3600,2018-02-26
Frank Mason III,PG,3600,2018-02-26
Troy Daniels,SG,3500,2018-02-26
Darius Miller,SF/PF,3500,2018-02-26
Aron Baynes,C,3500,2018-02-26
Channing Frye,PF/C,3500,2018-02-26
Jarrett Jack,PG,3500,2018-02-26
Robin Lopez,C,3500,2018-02-26
Omri Casspi,SF/PF,3500,2018-02-26
Zaza Pachulia,C,3500,2018-02-26
Doug McDermott,SF,3500,2018-02-26
Al Jefferson,PF/C,3500,2018-02-26
Luc Mbah a Moute,SF/PF,3500,2018-02-26
Marreese Speights,PF/C,3500,2018-02-26
Cameron Payne,PG/SG,3500,2018-02-26
DeAndre Bembry,SG/SF,3500,2018-02-26
Tyler Ulis,PG,3500,2018-02-26
Luke Kennard,SG/SF,3500,2018-02-26
Khem Birch,PF/C,3500,2018-02-26
Vince Carter,SG/SF,3400,2018-02-26
Terrence Ross,SG/SF,3400,2018-02-26
Ben McLemore,SG/SF,3400,2018-02-26
Miles Plumlee,C,3400,2018-02-26
Jared Dudley,PF,3400,2018-02-26
Gorgui Dieng,PF/C,3400,2018-02-26
Nene Hilario,C,3400,2018-02-26
James Ennis,SG/SF,3400,2018-02-26
Dante Cunningham,SF/PF,3400,2018-02-26
Salah Mejri,C,3400,2018-02-26
Josh Huestis,SG/SF,3400,2018-02-26
Norman Powell,SG/SF,3400,2018-02-26
Alex Abrines,SG/SF,3400,2018-02-26
Maxi Kleber,PF/C,3400,2018-02-26
Ivan Rabb,PF/C,3400,2018-02-26
Emeka Okafor,C,3400,2018-02-26
Jameer Nelson,PG/SG,3300,2018-02-26
Brandan Wright,PF,3300,2018-02-26
Alec Burks,PG/SG,3300,2018-02-26
Patrick Patterson,PF/C,3300,2018-02-26
Nik Stauskas,PG/SG,3300,2018-02-26
Glenn Robinson III,SG/SF,3300,2018-02-26
Shane Larkin,PG,3300,2018-02-26
Ekpe Udoh,C,3300,2018-02-26
Tyler Ennis,PG/SG,3300,2018-02-26
Shaun Livingston,PG/SG,3300,2018-02-26
Tarik Black,PF/C,3300,2018-02-26
Noah Vonleh,PF/C,3300,2018-02-26
Kevon Looney,SF/PF,3300,2018-02-26
Jerian Grant,PG,3300,2018-02-26
Kyle Collinsworth,PG/SG,3300,2018-02-26
Ivica Zubac,C,3300,2018-02-26
Davon Reed,SG/SF,3300,2018-02-26
OG Anunoby,SF/PF,3300,2018-02-26
Corey Brewer,SG/SF,3200,2018-02-26
Jonas Jerebko,SF/PF,3200,2018-02-26
Lucas Nogueira,PF,3200,2018-02-26
Langston Galloway,PG/SG,3200,2018-02-26
Dwight Buyks,PG,3200,2018-02-26
Troy Williams,SF/PF,3200,2018-02-26
Alex Caruso,PG/SG,3200,2018-02-26
Iman Shumpert,PG/SG,3100,2018-02-26
Eric Moreland,PF/C,3100,2018-02-26
Joseph Young,PG/SG,3100,2018-02-26
Raulzinho Neto,PG,3100,2018-02-26
Cheick Diallo,PF/C,3100,2018-02-26
Danuel House,SG/SF,3100,2018-02-26
Semi Ojeleye,SG/SF,3100,2018-02-26
Andrew White III,SF,3100,2018-02-26
Jeremy Lin,PG/SG,3000,2018-02-26
Omer Asik,C,3000,2018-02-26
Alexis Ajinca,C,3000,2018-02-26
Nick Young,SG,3000,2018-02-26
DeMarcus Cousins,PF/C,3000,2018-02-26
Luol Deng,SF/PF,3000,2018-02-26
Arron Afflalo,SG/SF,3000,2018-02-26
Brandon Knight,PG/SG,3000,2018-02-26
Mike Conley,PG,3000,2018-02-26
Gordon Hayward,SG/SF,3000,2018-02-26
Joakim Noah,C,3000,2018-02-26
Kyle Singler,SG/SF,3000,2018-02-26
Timofey Mozgov,C,3000,2018-02-26
Thabo Sefolosha,SG/SF,3000,2018-02-26
Nerlens Noel,PF,3000,2018-02-26
Jon Leuer,PF/C,3000,2018-02-26
Nick Collison,PF/C,3000,2018-02-26
Andre Roberson,SG/SF,3000,2018-02-26
Dante Exum,PG/SG,3000,2018-02-26
Lance Thomas,SF/PF,3000,2018-02-26
Shabazz Muhammad,SG/SF,3000,2018-02-26
Cole Aldrich,C,3000,2018-02-26
Aaron Brooks,PG/SG,3000,2018-02-26
JaVale McGee,C,3000,2018-02-26
Solomon Hill,SF/PF,3000,2018-02-26
JaKarr Sampson,SF,3000,2018-02-26
Bruno Caboclo,SF/PF,3000,2018-02-26
Markel Brown,PG/SG,3000,2018-02-26
Lorenzo Brown,PG,3000,2018-02-26
Malcolm Miller,PF,3000,2018-02-26
R.J. Hunter,SG,3000,2018-02-26
Jack Cooley,PF,3000,2018-02-26
Quinn Cook,PG,3000,2018-02-26
Anthony Brown,SG/SF,3000,2018-02-26
Rashad Vaughn,PG/SG,3000,2018-02-26
Kristaps Porzingis,PF/C,3000,2018-02-26
Seth Curry,PG/SG,3000,2018-02-26
Josh Magette,PG,3000,2018-02-26
Isaiah Whitehead,PG/SG,3000,2018-02-26
Jalen Jones,SF,3000,2018-02-26
Marcus Georges-Hunt,SG/SF,3000,2018-02-26
Paul Zipser,SF/PF,3000,2018-02-26
DeAndre Liggins,SG/SF,3000,2018-02-26
Kay Felder,PG,3000,2018-02-26
Dorian Finney-Smith,SF/PF,3000,2018-02-26
Henry Ellenson,PF/C,3000,2018-02-26
Patrick McCaw,PG/SF,3000,2018-02-26
Damian Jones,C,3000,2018-02-26
Gary Payton II,PG/SG,3000,2018-02-26
Chinanu Onuaku,C,3000,2018-02-26
Alex Poythress,SF,3000,2018-02-26
Georges Niang,SF/PF,3000,2018-02-26
Brice Johnson,PF/C,3000,2018-02-26
Ron Baker,PG/SG,3000,2018-02-26
James Webb III,SF,3000,2018-02-26
Alan Williams,C,3000,2018-02-26
Shaquille Harrison,PG/SG,3000,2018-02-26
Malachi Richardson,SG/SF,3000,2018-02-26
