name,player_y,slug,date_x
T.J. Warren,T.J. Warren,warretj01,10/18/17
Taj Gibson,Taj Gibson,gibsota01,10/18/17
Tarik Black,Tarik Black,blackta01,10/21/17
Terrance Ferguson,Terrance Ferguson,fergute01,10/19/17
Terrence Jones,Terrence Jones,joneste01,2/27/19
Terrence Ross,Terrence Ross,rosste01,10/18/17
Terry Rozier,Terry Rozier,roziete01,10/17/17
Thabo Sefolosha,Thabo Sefolosha,sefolth01,10/18/17
Thaddeus Young,Thaddeus Young,youngth01,10/18/17
Theo Pinson,Theo Pinson,pinsoth01,10/20/18
Thomas Bryant,Thomas Bryant,bryanth01,12/23/17
Thomas Welsh,Thomas Welsh,welshth01,10/17/18
Thon Maker,Thon Maker,makerth01,10/18/17
Tim Frazier,Tim Frazier,fraziti01,10/18/17
Tim Quarterman,Tim Quarterman,quartti01,4/1/18
Timofey Mozgov,Timofey Mozgov,mozgoti01,10/18/17
Tobias Harris,Tobias Harris,harrito02,10/18/17
Tony Allen,Tony Allen,allento01,10/18/17
Tony Bradley,Tony Bradley,bradlto01,11/5/17
Tony Parker,Tony Parker,parketo01,11/27/17
Tony Snell,Tony Snell,snellto01,10/18/17
Torrey Craig,Torrey Craig,craigto01,11/28/17
Trae Young,Trae Young,youngtr01,10/17/18
Travis Wear,Travis Wear,weartr01,3/3/18
Treveon Graham,Treveon Graham,grahatr01,10/18/17
Trevon Duval,Trevon Duval,duvaltr01,2/8/19
Trevor Ariza,Trevor Ariza,arizatr01,10/17/17
Trevor Booker,Trevor Booker,booketr01,10/18/17
Trey Lyles,Trey Lyles,lylestr01,10/18/17
Tristan Thompson,Tristan Thompson,thomptr01,10/17/17
Troy Brown,Troy Brown,browntr01,10/24/18
Troy Caupain,Troy Caupain,caupatr01,12/31/18
Troy Daniels,Troy Daniels,danietr01,10/18/17
Troy Williams,Troy Williams,willitr02,10/21/17
Ty Lawson,Ty Lawson,lawsoty01,4/17/18
Tyler Davis,Tyler Davis,davisty01,11/28/18
Tyler Dorsey,Tyler Dorsey,dorsety01,10/20/17
Tyler Ennis,Tyler Ennis,ennisty01,10/19/17
Tyler Johnson,Tyler Johnson,johnsty01,10/18/17
Tyler Lydon,Tyler Lydon,lydonty01,11/20/17
Tyler Ulis,Tyler Ulis,ulisty01,10/18/17
Tyler Zeller,Tyler Zeller,zellety01,10/27/17
Tyreke Evans,Tyreke Evans,evansty01,10/18/17
Tyson Chandler,Tyson Chandler,chandty01,10/18/17
Tyus Jones,Tyus Jones,jonesty01,10/18/17
Udonis Haslem,Udonis Haslem,hasleud01,11/19/17
Vander Blue,Vander Blue,blueva01,11/9/17
Victor Oladipo,Victor Oladipo,oladivi01,10/18/17
Vince Carter,Vince Carter,cartevi01,10/18/17
Vince Hunter,Vince Hunter,huntevi01,12/1/17
Wade Baldwin,Wade Baldwin,baldwwa01,3/6/18
Wayne Ellington,Wayne Ellington,ellinwa01,10/18/17
Wayne Selden,Wayne Selden,seldewa01,11/11/17
Wesley Iwundu,Wesley Iwundu,iwundwe01,10/21/17
Wesley Johnson,Wesley Johnson,johnswe01,10/19/17
Wesley Matthews,Wesley Matthews,matthwe02,10/18/17
Will Barton,Will Barton,bartowi01,10/18/17
Willie Cauley-Stein,Willie Cauley-Stein,caulewi01,10/18/17
Willie Reed,Willie Reed,reedwi02,10/19/17
Wilson Chandler,Wilson Chandler,chandwi01,10/18/17
Xavier Munford,Xavier Munford,munfoxa02,1/20/18
Xavier Rathan-Mayes,Xavier Rathan-Mayes,rathaxa01,3/5/18
Xavier Silas,Xavier Silas,silasxa01,3/31/18
Yante Maten,Yante Maten,matenya01,4/9/19
Yogi Ferrell,Yogi Ferrell,ferreyo01,10/18/17
Yuta Watanabe,Yuta Watanabe,watanyu01,10/27/18
Zach Collins,Zach Collins,colliza01,10/20/17
Zach LaVine,Zach LaVine,lavinza01,1/13/18
Zach Lofton,Zach Lofton,loftoza01,10/17/18
Zach Randolph,Zach Randolph,randoza01,10/20/17
Zaza Pachulia,Zaza Pachulia,pachuza01,10/17/17
Zhaire Smith,Zhaire Smith,smithzh01,3/25/19
Zhou Qi,Zhou Qi,qizh01,10/21/17
Álex Abrines,Alex Abrines,abrinal01,10/19/17
Élie Okobo,Elie Okobo,okoboel01,10/17/18
Ángel Delgado,Angel Delgado,delgaan01,2/7/19
Ömer A??k,Omer Asik,asikom01,11/24/17
Aaron Harrison,Aaron Harrison,harriaa01,3/22/18
Aaron Jackson,Aaron Jackson,jacksaa01,4/11/18
Andre Ingram,Andre Ingram,ingraan01,4/10/18
Andrew White,Andrew White III,whitean01,2/14/18
Ante ?i?i?,Ante Zizic,zizican01,10/21/17
Antonius Cleveland,Antonius Cleveland,clevean01,11/17/17
Billy Garrett,Billy Garrett,garrebi01,4/3/19
Boban Marjanovi?,Boban Marjanovic,marjabo01,10/21/17
Bogdan Bogdanovi?,Bogdan Bogdanovic,bogdabo01,10/23/17
Bojan Bogdanovi?,Bojan Bogdanovic,bogdabo02,10/18/17
Brandon Jennings,Brandon Jennings,jennibr01,3/12/18
Bruce Brown,Bruce Brown Jr.,brownbr01,10/17/18
Bruno Caboclo,Bruno Caboclo,cabocbr01,10/21/17
Chasson Randle,Chasson Randle,randlch01,12/18/18
Chris Chiozza,Chris Chiozza,chiozch01,3/24/19
CJ McCollum,C.J. McCollum,mccolcj01,10/20/17
Cristiano Felício,Cristiano Da Silva Felicio,feliccr01,10/19/17
D?anan Musa,Dzanan Musa,musadz01,10/20/18
D?vis Bert?ns,Davis Bertans,bertada01,10/18/17
Dairis Bert?ns,Dairis Bertans,bertada02,3/10/19
Damion Lee,Damion Lee,leeda03,3/13/18
Dario ?ari?,Dario Saric,saricda01,10/18/17
DeAndre' Bembry,DeAndre Bembry,bembrde01,10/18/17
Dennis Schröder,Dennis Schroder,schrode01,10/18/17
Dennis Smith,Dennis Smith Jr.,smithde03,10/18/17
Derrick Jones,Derrick Jones Jr.,jonesde02,10/18/17
Derrick Walton,Derrick Walton Jr.,waltode01,11/6/17
Donatas Motiej?nas,Donatas Motiejunas,motiedo01,4/5/19
Dwight Buycks,Dwight Buyks,buyckdw01,12/26/17
Emanuel Terry,Emanuel Terry,terryem01,1/27/19
Ersan ?lyasova,Ersan Ilyasova,ilyaser01,10/18/17
Frank Mason,Frank Mason III,masonfr01,10/21/17
Gary Payton,Gary Payton II,paytoga02,10/23/17
Gary Trent,Gary Trent Jr.,trentga02,11/4/18
Gerald Green,Gerald Green,greenge01,12/28/17
Glenn Robinson,Glenn Robinson III,robingl02,2/23/18
Haywood Highsmith,Haywood Highsmith,highsha01,1/8/19
Isaiah Canaan,Isaiah Canaan,canaais01,10/25/17
Ish Smith,Ishmael Smith,smithis01,10/18/17
J.J. Barea,Juan Jose Barea,bareajo01,10/18/17
Jacob Evans,Jacob Evans III,evansja02,10/22/18
Jahlil Okafor,Jahlil Okafor,okafoja01,10/21/17
Jakob Pöltl,Jakob Poeltl,poeltja01,10/19/17
Jameel Warney,Jameel Warney,warneja01,3/11/18
Jameer Nelson,Jameer Nelson,nelsoja01,10/22/17
James Michael McAdoo,James McAdoo,mcadoja01,11/11/17
James Webb,James Webb III,webbja01,1/27/18
Jaren Jackson,Jaren Jackson Jr.,jacksja02,10/17/18
Jaylen Morris,Jaylen Morris,morrija01,2/28/18
Jemerrio Jones,,jonesje01,3/31/19
Joe Young,Joseph Young,youngjo01,10/20/17
Jonas Valan?i?nas,Jonas Valanciunas,valanjo01,10/19/17
Jonathan Gibson,Jonathan Gibson,gibsojo01,4/6/18
Josh Gray,Josh Gray,grayjo01,2/2/18
Josh Smith,Josh Smith,smithjo03,10/28/17
Juan Hernangómez,Juan Hernangomez,hernaju01,10/18/17
Julian Washburn,Julian Washburn,washbju01,1/21/19
Jusuf Nurki?,Jusuf Nurkic,nurkiju01,10/18/17
Kelly Oubre,Kelly Oubre Jr.,oubreke01,10/18/17
Kendrick Perkins,Kendrick Perkins,perkike01,4/11/18
Kristaps Porzi??is,Kristaps Porzingis,porzikr01,10/19/17
Larry Drew,Larry Drew,drewla02,1/24/18
Larry Nance,Larry Nance Jr.,nancela02,10/19/17
Lonnie Walker,Lonnie Walker IV,walkelo01,1/3/19
Lou Williams,Louis Williams,willilo02,10/19/17
Lucas Nogueira,Lucas Nogueira,noguelu01,10/21/17
Luka Don?i?,Luka Doncic,doncilu01,10/17/18
Manu Ginóbili,Manu Ginobili,ginobma01,10/18/17
Marvin Bagley,Marvin Bagley III,baglema01,10/17/18
Matt Williams,Matt Williams,willima05,12/23/17
Milo? Teodosi?,Milos Teodosic,teodomi01,10/19/17
Mirza Teletovi?,Mirza Teletovic,teletmi01,10/18/17
Mitch Creek,Mitch Creek,creekmi01,1/25/19
Naz Mitrou-Long,Naz Long,mitrona01,12/26/17
Nenê Hilário,Nene Hilario,hilarne01,10/18/17
Nicolás Brussino,Nicolas Brussino,brussni01,10/20/17
Nik Stauskas,Nik Stauskas,stausni01,10/21/17
Nikola Joki?,Nikola Jokic,jokicni01,10/18/17
Nikola Vu?evi?,Nikola Vucevic,vucevni01,10/18/17
Patty Mills,Patrick Mills,millspa02,10/18/17
R.J. Hunter,R.J. Hunter,hunterj01,1/15/18
Raul Neto,Raulzinho Neto,netora01,10/21/17
Skal Labissière,Skal Labissiere,labissk01,10/18/17
Sviatoslav Mykhailiuk,Svi Mykhailiuk,mykhasv01,10/22/18
T.J. Leaf,TJ Leaf,leaftj01,10/18/17
Tahjere McCall,Tahjere McCall,mccalta01,2/27/19
Taurean Waller-Prince,Taurean Prince,princta02,10/18/17
Tim Hardaway,Tim Hardaway Jr.,hardati02,10/19/17
Timothé Luwawu-Cabarrot,Timothe Luwawu-Cabarrot,luwawti01,10/18/17
Tomá? Satoranský,Tomas Satoransky,satorto01,10/23/17
Trey Burke,Trey Burke,burketr01,1/15/18
Trey McKinney-Jones,Trey McKinney Jones,mckintr01,2/23/18
Tyler Cavanaugh,Tyler Cavanaugh,cavanty01,11/5/17
Tyrone Wallace,Tyrone Wallace,wallaty01,1/6/18
Vince Edwards,Vincent Edwards,edwarvi01,11/15/18
Walt Lemon,Walt Lemon Jr.,lemonwa01,2/23/18
Wendell Carter,Wendell Carter Jr.,cartewe01,10/18/18
Willy Hernangómez,Guillermo Hernangomez,hernawi01,10/19/17
