,p1,p2,p3,team,date,venue
1,John Wall,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/1/2016,Location.HOME
2,Pau Gasol,Jimmy Butler,Doug McDermott,Team.CHICAGO_BULLS,1/1/2016,Location.HOME
3,Luol Deng,Goran Dragi?,Dwyane Wade,Team.MIAMI_HEAT,1/1/2016,Location.HOME
4,Jerami Grant,Isaiah Canaan,Nik Stauskas,Team.PHILADELPHIA_76ERS,1/1/2016,Location.AWAY
5,Kemba Walker,Marvin Williams,Nicolas Batum,Team.CHARLOTTE_HORNETS,1/1/2016,Location.AWAY
6,Arron Afflalo,Carmelo Anthony,Robin Lopez,Team.NEW_YORK_KNICKS,1/1/2016,Location.AWAY
7,Evan Fournier,Victor Oladipo,Aaron Gordon,Team.ORLANDO_MAGIC,1/1/2016,Location.AWAY
8,Jordan Clarkson,Julius Randle,D'Angelo Russell,Team.LOS_ANGELES_LAKERS,1/1/2016,Location.HOME
9,Wesley Matthews,Dirk Nowitzki,Raymond Felton,Team.DALLAS_MAVERICKS,1/1/2016,Location.AWAY
10,Kyle Lowry,DeMar DeRozan,Patrick Patterson,Team.TORONTO_RAPTORS,1/1/2016,Location.HOME
11,Nik Stauskas,Jerami Grant,Ish Smith,Team.PHILADELPHIA_76ERS,1/2/2016,Location.AWAY
12,Kemba Walker,Jeremy Lin,Frank Kaminsky,Team.CHARLOTTE_HORNETS,1/2/2016,Location.HOME
13,Evan Fournier,Victor Oladipo,Aaron Gordon,Team.ORLANDO_MAGIC,1/2/2016,Location.AWAY
14,Wesley Matthews,Dirk Nowitzki,Raymond Felton,Team.DALLAS_MAVERICKS,1/2/2016,Location.HOME
15,Klay Thompson,Draymond Green,Andre Iguodala,Team.GOLDEN_STATE_WARRIORS,1/2/2016,Location.HOME
16,DeMarcus Cousins,Rajon Rondo,Darren Collison,Team.SACRAMENTO_KINGS,1/2/2016,Location.HOME
17,Kevin Durant,Russell Westbrook,Serge Ibaka,Team.OKLAHOMA_CITY_THUNDER,1/2/2016,Location.AWAY
18,LeBron James,Kyrie Irving,J.R. Smith,Team.CLEVELAND_CAVALIERS,1/2/2016,Location.HOME
19,Anthony Davis,Norris Cole,Eric Gordon,Team.NEW_ORLEANS_PELICANS,1/2/2016,Location.AWAY
20,Rodney Hood,Gordon Hayward,Trevor Booker,Team.UTAH_JAZZ,1/2/2016,Location.HOME
21,Paul George,Monta Ellis,George Hill,Team.INDIANA_PACERS,1/2/2016,Location.HOME
22,DeAndre Jordan,Chris Paul,Jamal Crawford,Team.LOS_ANGELES_CLIPPERS,1/2/2016,Location.HOME
23,Brook Lopez,Thaddeus Young,Bojan Bogdanovi?,Team.BROOKLYN_NETS,1/2/2016,Location.AWAY
24,Giannis Antetokounmpo,Jabari Parker,Khris Middleton,Team.MILWAUKEE_BUCKS,1/2/2016,Location.AWAY
25,Devin Booker,T.J. Warren,Brandon Knight,Team.PHOENIX_SUNS,1/2/2016,Location.AWAY
26,LaMarcus Aldridge,Kawhi Leonard,Danny Green,Team.SAN_ANTONIO_SPURS,1/2/2016,Location.HOME
27,Will Barton,Jameer Nelson,Danilo Gallinari,Team.DENVER_NUGGETS,1/2/2016,Location.AWAY
28,James Harden,Trevor Ariza,Dwight Howard,Team.HOUSTON_ROCKETS,1/2/2016,Location.AWAY
29,Andrew Wiggins,Karl-Anthony Towns,Ricky Rubio,Team.MINNESOTA_TIMBERWOLVES,1/2/2016,Location.HOME
30,Isaiah Thomas,Evan Turner,Avery Bradley,Team.BOSTON_CELTICS,1/2/2016,Location.HOME
31,Marc Gasol,Jeff Green,Courtney Lee,Team.MEMPHIS_GRIZZLIES,1/2/2016,Location.AWAY
32,Marcus Morris,Kentavious Caldwell-Pope,Andre Drummond,Team.DETROIT_PISTONS,1/2/2016,Location.AWAY
33,John Wall,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/3/2016,Location.HOME
34,Pau Gasol,Jimmy Butler,Doug McDermott,Team.CHICAGO_BULLS,1/3/2016,Location.AWAY
35,Luol Deng,Goran Dragi?,Dwyane Wade,Team.MIAMI_HEAT,1/3/2016,Location.AWAY
36,Arron Afflalo,Carmelo Anthony,Robin Lopez,Team.NEW_YORK_KNICKS,1/3/2016,Location.HOME
37,Jordan Clarkson,Julius Randle,D'Angelo Russell,Team.LOS_ANGELES_LAKERS,1/3/2016,Location.HOME
38,Kyle Lowry,DeMar DeRozan,Patrick Patterson,Team.TORONTO_RAPTORS,1/3/2016,Location.HOME
39,Devin Booker,P.J. Tucker,Alex Len,Team.PHOENIX_SUNS,1/3/2016,Location.AWAY
40,Danilo Gallinari,Jameer Nelson,Kenneth Faried,Team.DENVER_NUGGETS,1/3/2016,Location.HOME
41,Al Horford,Paul Millsap,Kyle Korver,Team.ATLANTA_HAWKS,1/3/2016,Location.AWAY
42,CJ McCollum,Allen Crabbe,Ed Davis,Team.PORTLAND_TRAIL_BLAZERS,1/3/2016,Location.AWAY
43,Luol Deng,Goran Dragi?,Dwyane Wade,Team.MIAMI_HEAT,1/4/2016,Location.HOME
44,Nerlens Noel,Ish Smith,Nik Stauskas,Team.PHILADELPHIA_76ERS,1/4/2016,Location.HOME
45,Kemba Walker,Jeremy Lin,Marvin Williams,Team.CHARLOTTE_HORNETS,1/4/2016,Location.AWAY
46,Evan Fournier,Victor Oladipo,Aaron Gordon,Team.ORLANDO_MAGIC,1/4/2016,Location.AWAY
47,Kyle Lowry,DeMar DeRozan,Patrick Patterson,Team.TORONTO_RAPTORS,1/4/2016,Location.AWAY
48,Draymond Green,Klay Thompson,Harrison Barnes,Team.GOLDEN_STATE_WARRIORS,1/4/2016,Location.HOME
49,DeMarcus Cousins,Rajon Rondo,Darren Collison,Team.SACRAMENTO_KINGS,1/4/2016,Location.AWAY
50,Russell Westbrook,Serge Ibaka,Anthony Morrow,Team.OKLAHOMA_CITY_THUNDER,1/4/2016,Location.HOME
51,LeBron James,Kyrie Irving,J.R. Smith,Team.CLEVELAND_CAVALIERS,1/4/2016,Location.HOME
52,Gordon Hayward,Rodney Hood,Jeff Withey,Team.UTAH_JAZZ,1/4/2016,Location.HOME
53,Paul George,Monta Ellis,Ian Mahinmi,Team.INDIANA_PACERS,1/4/2016,Location.AWAY
54,Brook Lopez,Thaddeus Young,Bojan Bogdanovi?,Team.BROOKLYN_NETS,1/4/2016,Location.HOME
55,Giannis Antetokounmpo,Jabari Parker,Khris Middleton,Team.MILWAUKEE_BUCKS,1/4/2016,Location.HOME
56,LaMarcus Aldridge,Kawhi Leonard,Danny Green,Team.SAN_ANTONIO_SPURS,1/4/2016,Location.AWAY
57,James Harden,Trevor Ariza,Dwight Howard,Team.HOUSTON_ROCKETS,1/4/2016,Location.AWAY
58,Andrew Wiggins,Karl-Anthony Towns,Ricky Rubio,Team.MINNESOTA_TIMBERWOLVES,1/4/2016,Location.AWAY
59,Evan Turner,Jae Crowder,Kelly Olynyk,Team.BOSTON_CELTICS,1/4/2016,Location.AWAY
60,Matt Barnes,Zach Randolph,Tony Allen,Team.MEMPHIS_GRIZZLIES,1/4/2016,Location.AWAY
61,Marcus Morris,Kentavious Caldwell-Pope,Andre Drummond,Team.DETROIT_PISTONS,1/4/2016,Location.HOME
62,Damian Lillard,CJ McCollum,Al-Farouq Aminu,Team.PORTLAND_TRAIL_BLAZERS,1/4/2016,Location.HOME
63,Pau Gasol,Jimmy Butler,Doug McDermott,Team.CHICAGO_BULLS,1/5/2016,Location.HOME
64,Arron Afflalo,Carmelo Anthony,Robin Lopez,Team.NEW_YORK_KNICKS,1/5/2016,Location.AWAY
65,Anthony Brown,Jordan Clarkson,Metta World Peace,Team.LOS_ANGELES_LAKERS,1/5/2016,Location.HOME
66,Wesley Matthews,Dirk Nowitzki,Raymond Felton,Team.DALLAS_MAVERICKS,1/5/2016,Location.HOME
67,Draymond Green,Klay Thompson,Harrison Barnes,Team.GOLDEN_STATE_WARRIORS,1/5/2016,Location.AWAY
68,DeMarcus Cousins,Rudy Gay,Darren Collison,Team.SACRAMENTO_KINGS,1/5/2016,Location.AWAY
69,Giannis Antetokounmpo,Jabari Parker,Khris Middleton,Team.MILWAUKEE_BUCKS,1/5/2016,Location.AWAY
70,Al Horford,Paul Millsap,Kyle Korver,Team.ATLANTA_HAWKS,1/5/2016,Location.HOME
71,John Wall,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/6/2016,Location.HOME
72,Luol Deng,Goran Dragi?,Dwyane Wade,Team.MIAMI_HEAT,1/6/2016,Location.HOME
73,P.J. Hairston,Kemba Walker,Cody Zeller,Team.CHARLOTTE_HORNETS,1/6/2016,Location.AWAY
74,Arron Afflalo,Carmelo Anthony,Robin Lopez,Team.NEW_YORK_KNICKS,1/6/2016,Location.AWAY
75,Evan Fournier,Victor Oladipo,Aaron Gordon,Team.ORLANDO_MAGIC,1/6/2016,Location.HOME
76,Raymond Felton,Chandler Parsons,Dwight Powell,Team.DALLAS_MAVERICKS,1/6/2016,Location.AWAY
77,Kyle Lowry,DeMar DeRozan,Patrick Patterson,Team.TORONTO_RAPTORS,1/6/2016,Location.AWAY
78,Kevin Durant,Russell Westbrook,Serge Ibaka,Team.OKLAHOMA_CITY_THUNDER,1/6/2016,Location.HOME
79,LeBron James,Kyrie Irving,J.R. Smith,Team.CLEVELAND_CAVALIERS,1/6/2016,Location.AWAY
80,Dante Cunningham,Jrue Holiday,Anthony Davis,Team.NEW_ORLEANS_PELICANS,1/6/2016,Location.HOME
81,Trey Lyles,Gordon Hayward,Chris Johnson,Team.UTAH_JAZZ,1/6/2016,Location.AWAY
82,Paul George,Monta Ellis,George Hill,Team.INDIANA_PACERS,1/6/2016,Location.AWAY
83,DeAndre Jordan,Chris Paul,Jamal Crawford,Team.LOS_ANGELES_CLIPPERS,1/6/2016,Location.AWAY
84,Brook Lopez,Thaddeus Young,Bojan Bogdanovi?,Team.BROOKLYN_NETS,1/6/2016,Location.HOME
85,Devin Booker,P.J. Tucker,Alex Len,Team.PHOENIX_SUNS,1/6/2016,Location.HOME
86,Tim Duncan,David West,Ray McCallum,Team.SAN_ANTONIO_SPURS,1/6/2016,Location.HOME
87,Danilo Gallinari,Darrell Arthur,Randy Foye,Team.DENVER_NUGGETS,1/6/2016,Location.AWAY
88,Andrew Wiggins,Karl-Anthony Towns,Ricky Rubio,Team.MINNESOTA_TIMBERWOLVES,1/6/2016,Location.HOME
89,Jae Crowder,Isaiah Thomas,Evan Turner,Team.BOSTON_CELTICS,1/6/2016,Location.HOME
90,Matt Barnes,Zach Randolph,Tony Allen,Team.MEMPHIS_GRIZZLIES,1/6/2016,Location.AWAY
91,Marcus Morris,Kentavious Caldwell-Pope,Andre Drummond,Team.DETROIT_PISTONS,1/6/2016,Location.AWAY
92,Damian Lillard,Allen Crabbe,Al-Farouq Aminu,Team.PORTLAND_TRAIL_BLAZERS,1/6/2016,Location.HOME
93,Pau Gasol,Jimmy Butler,Doug McDermott,Team.CHICAGO_BULLS,1/7/2016,Location.HOME
94,Ish Smith,Hollis Thompson,Robert Covington,Team.PHILADELPHIA_76ERS,1/7/2016,Location.HOME
95,Jordan Clarkson,Julius Randle,D'Angelo Russell,Team.LOS_ANGELES_LAKERS,1/7/2016,Location.AWAY
96,DeMarcus Cousins,Rajon Rondo,Darren Collison,Team.SACRAMENTO_KINGS,1/7/2016,Location.HOME
97,Gordon Hayward,Rodney Hood,Rudy Gobert,Team.UTAH_JAZZ,1/7/2016,Location.AWAY
98,James Harden,Trevor Ariza,Terrence Jones,Team.HOUSTON_ROCKETS,1/7/2016,Location.HOME
99,Jae Crowder,Evan Turner,Isaiah Thomas,Team.BOSTON_CELTICS,1/7/2016,Location.AWAY
100,Al Horford,Paul Millsap,Kyle Korver,Team.ATLANTA_HAWKS,1/7/2016,Location.AWAY
101,John Wall,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/8/2016,Location.HOME
102,Luol Deng,Goran Dragi?,Dwyane Wade,Team.MIAMI_HEAT,1/8/2016,Location.AWAY
103,Arron Afflalo,Carmelo Anthony,Robin Lopez,Team.NEW_YORK_KNICKS,1/8/2016,Location.AWAY
104,Evan Fournier,Victor Oladipo,Aaron Gordon,Team.ORLANDO_MAGIC,1/8/2016,Location.AWAY
105,Jordan Clarkson,Lou Williams,Kobe Bryant,Team.LOS_ANGELES_LAKERS,1/8/2016,Location.HOME
106,Wesley Matthews,Dirk Nowitzki,Raymond Felton,Team.DALLAS_MAVERICKS,1/8/2016,Location.AWAY
107,Kyle Lowry,DeMar DeRozan,Patrick Patterson,Team.TORONTO_RAPTORS,1/8/2016,Location.AWAY
108,Draymond Green,Klay Thompson,Harrison Barnes,Team.GOLDEN_STATE_WARRIORS,1/8/2016,Location.AWAY
109,Kevin Durant,Russell Westbrook,Serge Ibaka,Team.OKLAHOMA_CITY_THUNDER,1/8/2016,Location.AWAY
110,LeBron James,Kyrie Irving,J.R. Smith,Team.CLEVELAND_CAVALIERS,1/8/2016,Location.AWAY
111,Tyreke Evans,Ryan Anderson,Eric Gordon,Team.NEW_ORLEANS_PELICANS,1/8/2016,Location.HOME
112,Paul George,Monta Ellis,George Hill,Team.INDIANA_PACERS,1/8/2016,Location.AWAY
113,Brook Lopez,Thaddeus Young,Bojan Bogdanovi?,Team.BROOKLYN_NETS,1/8/2016,Location.HOME
114,Giannis Antetokounmpo,Jabari Parker,Khris Middleton,Team.MILWAUKEE_BUCKS,1/8/2016,Location.HOME
115,Devin Booker,P.J. Tucker,Alex Len,Team.PHOENIX_SUNS,1/8/2016,Location.HOME
116,LaMarcus Aldridge,Kawhi Leonard,Danny Green,Team.SAN_ANTONIO_SPURS,1/8/2016,Location.HOME
117,Danilo Gallinari,Gary Harris,Jameer Nelson,Team.DENVER_NUGGETS,1/8/2016,Location.AWAY
118,Andrew Wiggins,Karl-Anthony Towns,Ricky Rubio,Team.MINNESOTA_TIMBERWOLVES,1/8/2016,Location.HOME
119,Matt Barnes,Zach Randolph,Tony Allen,Team.MEMPHIS_GRIZZLIES,1/8/2016,Location.HOME
120,Damian Lillard,CJ McCollum,Al-Farouq Aminu,Team.PORTLAND_TRAIL_BLAZERS,1/8/2016,Location.HOME
121,John Wall,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/9/2016,Location.AWAY
122,Pau Gasol,Jimmy Butler,Doug McDermott,Team.CHICAGO_BULLS,1/9/2016,Location.AWAY
123,Luol Deng,Goran Dragi?,Dwyane Wade,Team.MIAMI_HEAT,1/9/2016,Location.AWAY
124,Jahlil Okafor,Ish Smith,Nerlens Noel,Team.PHILADELPHIA_76ERS,1/9/2016,Location.HOME
125,Jeremy Lin,Kemba Walker,Jeremy Lamb,Team.CHARLOTTE_HORNETS,1/9/2016,Location.AWAY
126,Evan Fournier,Victor Oladipo,Aaron Gordon,Team.ORLANDO_MAGIC,1/9/2016,Location.HOME
127,Kyle Lowry,DeMar DeRozan,Patrick Patterson,Team.TORONTO_RAPTORS,1/9/2016,Location.AWAY
128,Draymond Green,Klay Thompson,Harrison Barnes,Team.GOLDEN_STATE_WARRIORS,1/9/2016,Location.AWAY
129,DeMarcus Cousins,Rajon Rondo,Darren Collison,Team.SACRAMENTO_KINGS,1/9/2016,Location.HOME
130,Gordon Hayward,Raul Neto,Trey Lyles,Team.UTAH_JAZZ,1/9/2016,Location.HOME
131,DeAndre Jordan,Chris Paul,Jamal Crawford,Team.LOS_ANGELES_CLIPPERS,1/9/2016,Location.HOME
132,Brook Lopez,Thaddeus Young,Bojan Bogdanovi?,Team.BROOKLYN_NETS,1/9/2016,Location.AWAY
133,Stanley Johnson,Kentavious Caldwell-Pope,Andre Drummond,Team.DETROIT_PISTONS,1/9/2016,Location.HOME
134,Al Horford,Paul Millsap,Kyle Korver,Team.ATLANTA_HAWKS,1/9/2016,Location.HOME
135,Ish Smith,Hollis Thompson,Robert Covington,Team.PHILADELPHIA_76ERS,1/10/2016,Location.HOME
136,Kemba Walker,Marvin Williams,Nicolas Batum,Team.CHARLOTTE_HORNETS,1/10/2016,Location.AWAY
137,Arron Afflalo,Carmelo Anthony,Robin Lopez,Team.NEW_YORK_KNICKS,1/10/2016,Location.HOME
138,Jordan Clarkson,Larry Nance,Lou Williams,Team.LOS_ANGELES_LAKERS,1/10/2016,Location.HOME
139,Wesley Matthews,Dirk Nowitzki,Raymond Felton,Team.DALLAS_MAVERICKS,1/10/2016,Location.AWAY
140,Kevin Durant,Russell Westbrook,Serge Ibaka,Team.OKLAHOMA_CITY_THUNDER,1/10/2016,Location.AWAY
141,LeBron James,Kyrie Irving,J.R. Smith,Team.CLEVELAND_CAVALIERS,1/10/2016,Location.AWAY
142,Ryan Anderson,Tyreke Evans,Eric Gordon,Team.NEW_ORLEANS_PELICANS,1/10/2016,Location.AWAY
143,Gordon Hayward,Rodney Hood,Rudy Gobert,Team.UTAH_JAZZ,1/10/2016,Location.AWAY
144,Paul George,Monta Ellis,George Hill,Team.INDIANA_PACERS,1/10/2016,Location.AWAY
145,DeAndre Jordan,Chris Paul,Jamal Crawford,Team.LOS_ANGELES_CLIPPERS,1/10/2016,Location.HOME
146,Giannis Antetokounmpo,Jabari Parker,Khris Middleton,Team.MILWAUKEE_BUCKS,1/10/2016,Location.AWAY
147,Gary Harris,Emmanuel Mudiay,Will Barton,Team.DENVER_NUGGETS,1/10/2016,Location.HOME
148,James Harden,Trevor Ariza,Dwight Howard,Team.HOUSTON_ROCKETS,1/10/2016,Location.HOME
149,Andrew Wiggins,Karl-Anthony Towns,Ricky Rubio,Team.MINNESOTA_TIMBERWOLVES,1/10/2016,Location.HOME
150,Isaiah Thomas,Evan Turner,Avery Bradley,Team.BOSTON_CELTICS,1/10/2016,Location.AWAY
151,Matt Barnes,Zach Randolph,Tony Allen,Team.MEMPHIS_GRIZZLIES,1/10/2016,Location.HOME
152,Damian Lillard,CJ McCollum,Al-Farouq Aminu,Team.PORTLAND_TRAIL_BLAZERS,1/10/2016,Location.HOME
153,John Wall,Otto Porter,Garrett Temple,Team.WASHINGTON_WIZARDS,1/11/2016,Location.AWAY
154,Pau Gasol,Jimmy Butler,Doug McDermott,Team.CHICAGO_BULLS,1/11/2016,Location.HOME
155,Luol Deng,Goran Dragi?,Dwyane Wade,Team.MIAMI_HEAT,1/11/2016,Location.AWAY
156,Draymond Green,Klay Thompson,Harrison Barnes,Team.GOLDEN_STATE_WARRIORS,1/11/2016,Location.HOME
157,Brook Lopez,Thaddeus Young,Bojan Bogdanovi?,Team.BROOKLYN_NETS,1/11/2016,Location.HOME
158,LaMarcus Aldridge,Kawhi Leonard,Danny Green,Team.SAN_ANTONIO_SPURS,1/11/2016,Location.AWAY
159,Jimmy Butler,Pau Gasol,Nikola Miroti?,Team.CHICAGO_BULLS,1/12/2016,Location.AWAY
160,Arron Afflalo,Carmelo Anthony,Robin Lopez,Team.NEW_YORK_KNICKS,1/12/2016,Location.HOME
161,Jordan Clarkson,Julius Randle,D'Angelo Russell,Team.LOS_ANGELES_LAKERS,1/12/2016,Location.HOME
162,Wesley Matthews,Dirk Nowitzki,Raymond Felton,Team.DALLAS_MAVERICKS,1/12/2016,Location.HOME
163,Kevin Durant,Russell Westbrook,Serge Ibaka,Team.OKLAHOMA_CITY_THUNDER,1/12/2016,Location.AWAY
164,LeBron James,Kyrie Irving,J.R. Smith,Team.CLEVELAND_CAVALIERS,1/12/2016,Location.AWAY
165,Ryan Anderson,Tyreke Evans,Norris Cole,Team.NEW_ORLEANS_PELICANS,1/12/2016,Location.AWAY
166,Paul George,Monta Ellis,George Hill,Team.INDIANA_PACERS,1/12/2016,Location.HOME
167,Giannis Antetokounmpo,Jabari Parker,Khris Middleton,Team.MILWAUKEE_BUCKS,1/12/2016,Location.HOME
168,P.J. Tucker,T.J. Warren,Archie Goodwin,Team.PHOENIX_SUNS,1/12/2016,Location.AWAY
169,LaMarcus Aldridge,Kawhi Leonard,Danny Green,Team.SAN_ANTONIO_SPURS,1/12/2016,Location.AWAY
170,James Harden,Trevor Ariza,Dwight Howard,Team.HOUSTON_ROCKETS,1/12/2016,Location.AWAY
171,Andrew Wiggins,Karl-Anthony Towns,Ricky Rubio,Team.MINNESOTA_TIMBERWOLVES,1/12/2016,Location.HOME
172,Isaiah Thomas,Evan Turner,Avery Bradley,Team.BOSTON_CELTICS,1/12/2016,Location.AWAY
173,Mario Chalmers,Marc Gasol,Courtney Lee,Team.MEMPHIS_GRIZZLIES,1/12/2016,Location.HOME
174,Marcus Morris,Kentavious Caldwell-Pope,Andre Drummond,Team.DETROIT_PISTONS,1/12/2016,Location.HOME
175,John Wall,Garrett Temple,Jared Dudley,Team.WASHINGTON_WIZARDS,1/13/2016,Location.HOME
176,Chris Bosh,Gerald Green,Luol Deng,Team.MIAMI_HEAT,1/13/2016,Location.AWAY
177,Kemba Walker,Marvin Williams,Nicolas Batum,Team.CHARLOTTE_HORNETS,1/13/2016,Location.HOME
178,Kristaps Porzi??is,Arron Afflalo,Derrick Williams,Team.NEW_YORK_KNICKS,1/13/2016,Location.AWAY
179,Raymond Felton,Dwight Powell,J.J. Barea,Team.DALLAS_MAVERICKS,1/13/2016,Location.AWAY
180,Stephen Curry,Klay Thompson,Andre Iguodala,Team.GOLDEN_STATE_WARRIORS,1/13/2016,Location.AWAY
181,DeMarcus Cousins,Rajon Rondo,Darren Collison,Team.SACRAMENTO_KINGS,1/13/2016,Location.HOME
182,Kevin Durant,Russell Westbrook,Serge Ibaka,Team.OKLAHOMA_CITY_THUNDER,1/13/2016,Location.HOME
183,Dante Cunningham,Jrue Holiday,Anthony Davis,Team.NEW_ORLEANS_PELICANS,1/13/2016,Location.AWAY
184,Gordon Hayward,Rodney Hood,Rudy Gobert,Team.UTAH_JAZZ,1/13/2016,Location.AWAY
185,Paul George,Monta Ellis,George Hill,Team.INDIANA_PACERS,1/13/2016,Location.AWAY
186,Chris Paul,Jamal Crawford,J.J. Redick,Team.LOS_ANGELES_CLIPPERS,1/13/2016,Location.HOME
187,Brook Lopez,Thaddeus Young,Bojan Bogdanovi?,Team.BROOKLYN_NETS,1/13/2016,Location.HOME
188,Giannis Antetokounmpo,Jabari Parker,Khris Middleton,Team.MILWAUKEE_BUCKS,1/13/2016,Location.AWAY
189,Gary Harris,Emmanuel Mudiay,Will Barton,Team.DENVER_NUGGETS,1/13/2016,Location.HOME
190,James Harden,Trevor Ariza,Dwight Howard,Team.HOUSTON_ROCKETS,1/13/2016,Location.HOME
191,Andrew Wiggins,Karl-Anthony Towns,Ricky Rubio,Team.MINNESOTA_TIMBERWOLVES,1/13/2016,Location.AWAY
192,Isaiah Thomas,Evan Turner,Avery Bradley,Team.BOSTON_CELTICS,1/13/2016,Location.HOME
193,Al Horford,Paul Millsap,Kyle Korver,Team.ATLANTA_HAWKS,1/13/2016,Location.AWAY
194,Damian Lillard,CJ McCollum,Al-Farouq Aminu,Team.PORTLAND_TRAIL_BLAZERS,1/13/2016,Location.HOME
195,Jimmy Butler,Joakim Noah,Taj Gibson,Team.CHICAGO_BULLS,1/14/2016,Location.AWAY
196,Ish Smith,Hollis Thompson,Robert Covington,Team.PHILADELPHIA_76ERS,1/14/2016,Location.HOME
197,Victor Oladipo,Tobias Harris,Nikola Vu?evi?,Team.ORLANDO_MAGIC,1/14/2016,Location.HOME
198,Jordan Clarkson,Julius Randle,D'Angelo Russell,Team.LOS_ANGELES_LAKERS,1/14/2016,Location.AWAY
199,Kyle Lowry,DeMar DeRozan,Patrick Patterson,Team.TORONTO_RAPTORS,1/14/2016,Location.AWAY
200,Draymond Green,Klay Thompson,Harrison Barnes,Team.GOLDEN_STATE_WARRIORS,1/14/2016,Location.HOME
201,DeMarcus Cousins,Rajon Rondo,Darren Collison,Team.SACRAMENTO_KINGS,1/14/2016,Location.AWAY
202,LeBron James,Kyrie Irving,J.R. Smith,Team.CLEVELAND_CAVALIERS,1/14/2016,Location.AWAY
203,Gordon Hayward,Rodney Hood,Rudy Gobert,Team.UTAH_JAZZ,1/14/2016,Location.HOME
204,LaMarcus Aldridge,Kawhi Leonard,Danny Green,Team.SAN_ANTONIO_SPURS,1/14/2016,Location.HOME
205,Matt Barnes,Zach Randolph,Tony Allen,Team.MEMPHIS_GRIZZLIES,1/14/2016,Location.HOME
206,Marcus Morris,Kentavious Caldwell-Pope,Andre Drummond,Team.DETROIT_PISTONS,1/14/2016,Location.AWAY
207,John Wall,Jared Dudley,Garrett Temple,Team.WASHINGTON_WIZARDS,1/15/2016,Location.AWAY
208,Pau Gasol,Jimmy Butler,Doug McDermott,Team.CHICAGO_BULLS,1/15/2016,Location.HOME
209,Luol Deng,Hassan Whiteside,Beno Udrih,Team.MIAMI_HEAT,1/15/2016,Location.AWAY
210,Kemba Walker,Marvin Williams,Nicolas Batum,Team.CHARLOTTE_HORNETS,1/15/2016,Location.AWAY
211,Wesley Matthews,Deron Williams,Zaza Pachulia,Team.DALLAS_MAVERICKS,1/15/2016,Location.AWAY
212,Kevin Durant,Russell Westbrook,Serge Ibaka,Team.OKLAHOMA_CITY_THUNDER,1/15/2016,Location.HOME
213,LeBron James,Kyrie Irving,J.R. Smith,Team.CLEVELAND_CAVALIERS,1/15/2016,Location.AWAY
214,Dante Cunningham,Jrue Holiday,Anthony Davis,Team.NEW_ORLEANS_PELICANS,1/15/2016,Location.HOME
215,Paul George,Monta Ellis,George Hill,Team.INDIANA_PACERS,1/15/2016,Location.HOME
216,Brook Lopez,Thaddeus Young,Bojan Bogdanovi?,Team.BROOKLYN_NETS,1/15/2016,Location.HOME
217,Giannis Antetokounmpo,Jabari Parker,Khris Middleton,Team.MILWAUKEE_BUCKS,1/15/2016,Location.HOME
218,Brandon Knight,P.J. Tucker,Devin Booker,Team.PHOENIX_SUNS,1/15/2016,Location.AWAY
219,Gary Harris,Emmanuel Mudiay,Will Barton,Team.DENVER_NUGGETS,1/15/2016,Location.HOME
220,James Harden,Trevor Ariza,Dwight Howard,Team.HOUSTON_ROCKETS,1/15/2016,Location.HOME
221,Andrew Wiggins,Karl-Anthony Towns,Ricky Rubio,Team.MINNESOTA_TIMBERWOLVES,1/15/2016,Location.AWAY
222,Isaiah Thomas,Evan Turner,Avery Bradley,Team.BOSTON_CELTICS,1/15/2016,Location.HOME
223,Al Horford,Paul Millsap,Kyle Korver,Team.ATLANTA_HAWKS,1/15/2016,Location.AWAY
224,Damian Lillard,CJ McCollum,Al-Farouq Aminu,Team.PORTLAND_TRAIL_BLAZERS,1/15/2016,Location.AWAY
225,John Wall,Jared Dudley,Marcin Gortat,Team.WASHINGTON_WIZARDS,1/16/2016,Location.HOME
226,Ish Smith,Hollis Thompson,Robert Covington,Team.PHILADELPHIA_76ERS,1/16/2016,Location.HOME
227,Kemba Walker,Marvin Williams,Nicolas Batum,Team.CHARLOTTE_HORNETS,1/16/2016,Location.HOME
228,Langston Galloway,Arron Afflalo,José Calderón,Team.NEW_YORK_KNICKS,1/16/2016,Location.AWAY
229,Jordan Clarkson,Julius Randle,D'Angelo Russell,Team.LOS_ANGELES_LAKERS,1/16/2016,Location.AWAY
230,Draymond Green,Klay Thompson,Harrison Barnes,Team.GOLDEN_STATE_WARRIORS,1/16/2016,Location.AWAY
231,DeMarcus Cousins,Rajon Rondo,Darren Collison,Team.SACRAMENTO_KINGS,1/16/2016,Location.AWAY
232,Gordon Hayward,Rodney Hood,Rudy Gobert,Team.UTAH_JAZZ,1/16/2016,Location.HOME
233,J.J. Redick,Jamal Crawford,Cole Aldrich,Team.LOS_ANGELES_CLIPPERS,1/16/2016,Location.HOME
234,Brook Lopez,Thaddeus Young,Bojan Bogdanovi?,Team.BROOKLYN_NETS,1/16/2016,Location.AWAY
