,p1,p2,p3,team,date,venue
65,brownan02,clarkjo01,artesro01,Team.LOS_ANGELES_LAKERS,1/5/16,Location.HOME
66,matthwe02,nowitdi01,feltora01,Team.DALLAS_MAVERICKS,1/5/16,Location.HOME
67,greendr01,thompkl01,barneha02,Team.GOLDEN_STATE_WARRIORS,1/5/16,Location.AWAY
68,couside01,gayru01,collida01,Team.SACRAMENTO_KINGS,1/5/16,Location.AWAY
69,antetgi01,parkeja01,middlkh01,Team.MILWAUKEE_BUCKS,1/5/16,Location.AWAY
70,horfoal01,millspa01,korveky01,Team.ATLANTA_HAWKS,1/5/16,Location.HOME
71,walljo01,gortama01,porteot01,Team.WASHINGTON_WIZARDS,1/6/16,Location.HOME
72,denglu01,dragigo01,wadedw01,Team.MIAMI_HEAT,1/6/16,Location.HOME
73,hairspj02,walkeke02,zelleco01,Team.CHARLOTTE_HORNETS,1/6/16,Location.AWAY
74,afflaar01,anthoca01,lopezro01,Team.NEW_YORK_KNICKS,1/6/16,Location.AWAY
75,fournev01,oladivi01,gordoaa01,Team.ORLANDO_MAGIC,1/6/16,Location.HOME
76,feltora01,parsoch01,poweldw01,Team.DALLAS_MAVERICKS,1/6/16,Location.AWAY
77,lowryky01,derozde01,pattepa01,Team.TORONTO_RAPTORS,1/6/16,Location.AWAY
78,duranke01,westbru01,ibakase01,Team.OKLAHOMA_CITY_THUNDER,1/6/16,Location.HOME
79,jamesle01,irvinky01,smithjr01,Team.CLEVELAND_CAVALIERS,1/6/16,Location.AWAY
80,cunnida01,holidjr01,davisan02,Team.NEW_ORLEANS_PELICANS,1/6/16,Location.HOME
81,lylestr01,haywago01,johnsch04,Team.UTAH_JAZZ,1/6/16,Location.AWAY
82,georgpa01,ellismo01,hillge01,Team.INDIANA_PACERS,1/6/16,Location.AWAY
83,jordade01,paulch01,crawfja01,Team.LOS_ANGELES_CLIPPERS,1/6/16,Location.AWAY
84,lopezbr01,youngth01,bogdabo02,Team.BROOKLYN_NETS,1/6/16,Location.HOME
85,bookede01,tuckepj01,lenal01,Team.PHOENIX_SUNS,1/6/16,Location.HOME
86,duncati01,westda01,mccalra01,Team.SAN_ANTONIO_SPURS,1/6/16,Location.HOME
87,gallida01,arthuda01,foyera01,Team.DENVER_NUGGETS,1/6/16,Location.AWAY
88,wiggian01,townska01,rubiori01,Team.MINNESOTA_TIMBERWOLVES,1/6/16,Location.HOME
89,crowdja01,thomais02,turneev01,Team.BOSTON_CELTICS,1/6/16,Location.HOME
90,barnema02,randoza01,allento01,Team.MEMPHIS_GRIZZLIES,1/6/16,Location.AWAY
91,morrima03,caldwke01,drumman01,Team.DETROIT_PISTONS,1/6/16,Location.AWAY
92,lillada01,crabbal01,aminual01,Team.PORTLAND_TRAIL_BLAZERS,1/6/16,Location.HOME
93,gasolpa01,butleji01,mcderdo01,Team.CHICAGO_BULLS,1/7/16,Location.HOME
94,smithis01,thompho01,covinro01,Team.PHILADELPHIA_76ERS,1/7/16,Location.HOME
95,clarkjo01,randlju01,russeda01,Team.LOS_ANGELES_LAKERS,1/7/16,Location.AWAY
96,couside01,rondora01,collida01,Team.SACRAMENTO_KINGS,1/7/16,Location.HOME
97,haywago01,hoodro01,goberru01,Team.UTAH_JAZZ,1/7/16,Location.AWAY
98,hardeja01,arizatr01,joneste01,Team.HOUSTON_ROCKETS,1/7/16,Location.HOME
99,crowdja01,turneev01,thomais02,Team.BOSTON_CELTICS,1/7/16,Location.AWAY
100,horfoal01,millspa01,korveky01,Team.ATLANTA_HAWKS,1/7/16,Location.AWAY
101,walljo01,gortama01,porteot01,Team.WASHINGTON_WIZARDS,1/8/16,Location.HOME
102,denglu01,dragigo01,wadedw01,Team.MIAMI_HEAT,1/8/16,Location.AWAY
103,afflaar01,anthoca01,lopezro01,Team.NEW_YORK_KNICKS,1/8/16,Location.AWAY
104,fournev01,oladivi01,gordoaa01,Team.ORLANDO_MAGIC,1/8/16,Location.AWAY
105,clarkjo01,willilo02,bryanko01,Team.LOS_ANGELES_LAKERS,1/8/16,Location.HOME
106,matthwe02,nowitdi01,feltora01,Team.DALLAS_MAVERICKS,1/8/16,Location.AWAY
107,lowryky01,derozde01,pattepa01,Team.TORONTO_RAPTORS,1/8/16,Location.AWAY
108,greendr01,thompkl01,barneha02,Team.GOLDEN_STATE_WARRIORS,1/8/16,Location.AWAY
109,duranke01,westbru01,ibakase01,Team.OKLAHOMA_CITY_THUNDER,1/8/16,Location.AWAY
110,jamesle01,irvinky01,smithjr01,Team.CLEVELAND_CAVALIERS,1/8/16,Location.AWAY
111,evansty01,anderry01,gordoer01,Team.NEW_ORLEANS_PELICANS,1/8/16,Location.HOME
112,georgpa01,ellismo01,hillge01,Team.INDIANA_PACERS,1/8/16,Location.AWAY
113,lopezbr01,youngth01,bogdabo02,Team.BROOKLYN_NETS,1/8/16,Location.HOME
114,antetgi01,parkeja01,middlkh01,Team.MILWAUKEE_BUCKS,1/8/16,Location.HOME
115,bookede01,tuckepj01,lenal01,Team.PHOENIX_SUNS,1/8/16,Location.HOME
116,aldrila01,leonaka01,greenda02,Team.SAN_ANTONIO_SPURS,1/8/16,Location.HOME
117,gallida01,harriga01,nelsoja01,Team.DENVER_NUGGETS,1/8/16,Location.AWAY
118,wiggian01,townska01,rubiori01,Team.MINNESOTA_TIMBERWOLVES,1/8/16,Location.HOME
119,barnema02,randoza01,allento01,Team.MEMPHIS_GRIZZLIES,1/8/16,Location.HOME
120,lillada01,mccolcj01,aminual01,Team.PORTLAND_TRAIL_BLAZERS,1/8/16,Location.HOME
121,walljo01,gortama01,porteot01,Team.WASHINGTON_WIZARDS,1/9/16,Location.AWAY
122,gasolpa01,butleji01,mcderdo01,Team.CHICAGO_BULLS,1/9/16,Location.AWAY
123,denglu01,dragigo01,wadedw01,Team.MIAMI_HEAT,1/9/16,Location.AWAY
124,okafoja01,smithis01,noelne01,Team.PHILADELPHIA_76ERS,1/9/16,Location.HOME
125,linje01,walkeke02,lambje01,Team.CHARLOTTE_HORNETS,1/9/16,Location.AWAY
126,fournev01,oladivi01,gordoaa01,Team.ORLANDO_MAGIC,1/9/16,Location.HOME
127,lowryky01,derozde01,pattepa01,Team.TORONTO_RAPTORS,1/9/16,Location.AWAY
128,greendr01,thompkl01,barneha02,Team.GOLDEN_STATE_WARRIORS,1/9/16,Location.AWAY
129,couside01,rondora01,collida01,Team.SACRAMENTO_KINGS,1/9/16,Location.HOME
130,haywago01,netora01,lylestr01,Team.UTAH_JAZZ,1/9/16,Location.HOME
131,jordade01,paulch01,crawfja01,Team.LOS_ANGELES_CLIPPERS,1/9/16,Location.HOME
132,lopezbr01,youngth01,bogdabo02,Team.BROOKLYN_NETS,1/9/16,Location.AWAY
133,johnsst04,caldwke01,drumman01,Team.DETROIT_PISTONS,1/9/16,Location.HOME
134,horfoal01,millspa01,korveky01,Team.ATLANTA_HAWKS,1/9/16,Location.HOME
135,smithis01,thompho01,covinro01,Team.PHILADELPHIA_76ERS,1/10/16,Location.HOME
136,walkeke02,willima02,batumni01,Team.CHARLOTTE_HORNETS,1/10/16,Location.AWAY
137,afflaar01,anthoca01,lopezro01,Team.NEW_YORK_KNICKS,1/10/16,Location.HOME
138,clarkjo01,nancela02,willilo02,Team.LOS_ANGELES_LAKERS,1/10/16,Location.HOME
139,matthwe02,nowitdi01,feltora01,Team.DALLAS_MAVERICKS,1/10/16,Location.AWAY
140,duranke01,westbru01,ibakase01,Team.OKLAHOMA_CITY_THUNDER,1/10/16,Location.AWAY
141,jamesle01,irvinky01,smithjr01,Team.CLEVELAND_CAVALIERS,1/10/16,Location.AWAY
142,anderry01,evansty01,gordoer01,Team.NEW_ORLEANS_PELICANS,1/10/16,Location.AWAY
