,p1,p2,p3,team,date,venue
63,teaguje01,horfoal01,horfoal01,Team.ATLANTA_HAWKS,1/5/2013,Location.HOME
64,holidjr01,hawessp01,holidjr01,Team.PHILADELPHIA_76ERS,1/5/2013,Location.AWAY
65,paulch01,jordade01,paulch01,Team.LOS_ANGELES_CLIPPERS,1/5/2013,Location.HOME
66,vasqugr01,davisan02,vasqugr01,Team.NEW_ORLEANS_HORNETS,1/5/2013,Location.AWAY
67,cartevi01,kamanch01,cartevi01,Team.DALLAS_MAVERICKS,1/5/2013,Location.HOME
68,lawsoty01,koufoko01,lawsoty01,Team.DENVER_NUGGETS,1/5/2013,Location.HOME
69,lillada01,aldrila01,aldrila01,Team.PORTLAND_TRAIL_BLAZERS,1/5/2013,Location.AWAY
70,thomais02,couside01,couside01,Team.SACRAMENTO_KINGS,1/5/2013,Location.AWAY
71,smithjr01,chandty01,anthoca01,Team.NEW_YORK_KNICKS,1/5/2013,Location.AWAY
72,willide01,lopezbr01,willide01,Team.BROOKLYN_NETS,1/5/2013,Location.HOME
73,nelsoja01,vucevni01,nelsoja01,Team.ORLANDO_MAGIC,1/5/2013,Location.HOME
74,ridnolu01,pekovni01,pekovni01,Team.MINNESOTA_TIMBERWOLVES,1/5/2013,Location.HOME
75,haywago01,jeffeal01,jeffeal01,Team.UTAH_JAZZ,1/5/2013,Location.AWAY
76,thompkl01,ezelife01,landrca01,Team.GOLDEN_STATE_WARRIORS,1/5/2013,Location.AWAY
77,piercpa01,garneke01,piercpa01,Team.BOSTON_CELTICS,1/5/2013,Location.AWAY
78,parketo01,duncati01,parketo01,Team.SAN_ANTONIO_SPURS,1/5/2013,Location.HOME
79,hillge01,hibbero01,georgpa01,Team.INDIANA_PACERS,1/5/2013,Location.HOME
80,ellismo01,sandela01,ellismo01,Team.MILWAUKEE_BUCKS,1/5/2013,Location.AWAY
81,irvinky01,thomptr01,irvinky01,Team.CLEVELAND_CAVALIERS,1/5/2013,Location.HOME
82,hardeja01,asikom01,hardeja01,Team.HOUSTON_ROCKETS,1/5/2013,Location.AWAY
83,bryanko01,howardw01,bryanko01,Team.LOS_ANGELES_LAKERS,1/6/2013,Location.HOME
84,lawsoty01,koufoko01,lawsoty01,Team.DENVER_NUGGETS,1/6/2013,Location.AWAY
85,macksh01,okafoem01,martica01,Team.WASHINGTON_WIZARDS,1/6/2013,Location.AWAY
86,stuckro01,monrogr01,monrogr01,Team.DETROIT_PISTONS,1/6/2013,Location.HOME
87,conlemi01,gasolma01,gasolma01,Team.MEMPHIS_GRIZZLIES,1/6/2013,Location.AWAY
88,dragigo01,gortama01,dragigo01,Team.PHOENIX_SUNS,1/6/2013,Location.HOME
89,derozde01,johnsam01,derozde01,Team.TORONTO_RAPTORS,1/6/2013,Location.HOME
90,jamesle01,boshch01,jamesle01,Team.MIAMI_HEAT,1/6/2013,Location.HOME
91,duranke01,ibakase01,duranke01,Team.OKLAHOMA_CITY_THUNDER,1/6/2013,Location.AWAY
92,walkeke02,biyombi01,walkeke02,Team.CHARLOTTE_BOBCATS,1/6/2013,Location.AWAY
93,vasqugr01,davisan02,vasqugr01,Team.NEW_ORLEANS_HORNETS,1/7/2013,Location.HOME
94,mayooj01,kamanch01,nowitdi01,Team.DALLAS_MAVERICKS,1/7/2013,Location.AWAY
95,lillada01,aldrila01,aldrila01,Team.PORTLAND_TRAIL_BLAZERS,1/7/2013,Location.HOME
96,thomais02,couside01,couside01,Team.SACRAMENTO_KINGS,1/7/2013,Location.HOME
97,smithjr01,chandty01,anthoca01,Team.NEW_YORK_KNICKS,1/7/2013,Location.HOME
98,webstma02,okafoem01,webstma02,Team.WASHINGTON_WIZARDS,1/7/2013,Location.HOME
99,robinna01,boozeca01,boozeca01,Team.CHICAGO_BULLS,1/7/2013,Location.HOME
100,redicjj01,vucevni01,redicjj01,Team.ORLANDO_MAGIC,1/7/2013,Location.AWAY
101,conlemi01,gasolma01,gasolma01,Team.MEMPHIS_GRIZZLIES,1/7/2013,Location.AWAY
102,haywago01,jeffeal01,jeffeal01,Team.UTAH_JAZZ,1/7/2013,Location.HOME
103,piercpa01,garneke01,piercpa01,Team.BOSTON_CELTICS,1/7/2013,Location.AWAY
104,parketo01,duncati01,parketo01,Team.SAN_ANTONIO_SPURS,1/7/2013,Location.AWAY
105,duranke01,ibakase01,duranke01,Team.OKLAHOMA_CITY_THUNDER,1/7/2013,Location.AWAY
106,irvinky01,thomptr01,irvinky01,Team.CLEVELAND_CAVALIERS,1/7/2013,Location.AWAY
107,teaguje01,horfoal01,horfoal01,Team.ATLANTA_HAWKS,1/8/2013,Location.AWAY
108,nashst01,sacrero01,nashst01,Team.LOS_ANGELES_LAKERS,1/8/2013,Location.AWAY
109,holidjr01,hawessp01,holidjr01,Team.PHILADELPHIA_76ERS,1/8/2013,Location.HOME
110,willide01,lopezbr01,willide01,Team.BROOKLYN_NETS,1/8/2013,Location.AWAY
111,rubiori01,pekovni01,rubiori01,Team.MINNESOTA_TIMBERWOLVES,1/8/2013,Location.HOME
112,dragigo01,gortama01,dragigo01,Team.PHOENIX_SUNS,1/8/2013,Location.AWAY
113,jamesle01,boshch01,jamesle01,Team.MIAMI_HEAT,1/8/2013,Location.AWAY
114,hillge01,hibbero01,georgpa01,Team.INDIANA_PACERS,1/8/2013,Location.HOME
115,ellismo01,sandela01,ellismo01,Team.MILWAUKEE_BUCKS,1/8/2013,Location.HOME
116,hardeja01,asikom01,hardeja01,Team.HOUSTON_ROCKETS,1/8/2013,Location.HOME
117,teaguje01,horfoal01,horfoal01,Team.ATLANTA_HAWKS,1/9/2013,Location.AWAY
118,bryanko01,sacrero01,clarkea01,Team.LOS_ANGELES_LAKERS,1/9/2013,Location.AWAY
119,holidjr01,hawessp01,holidjr01,Team.PHILADELPHIA_76ERS,1/9/2013,Location.AWAY
120,paulch01,jordade01,paulch01,Team.LOS_ANGELES_CLIPPERS,1/9/2013,Location.HOME
121,vasqugr01,davisan02,vasqugr01,Team.NEW_ORLEANS_HORNETS,1/9/2013,Location.HOME
122,collida01,kamanch01,collida01,Team.DALLAS_MAVERICKS,1/9/2013,Location.AWAY
123,lawsoty01,koufoko01,lawsoty01,Team.DENVER_NUGGETS,1/9/2013,Location.HOME
124,robinna01,boozeca01,boozeca01,Team.CHICAGO_BULLS,1/9/2013,Location.HOME
125,harklma01,vucevni01,vucevni01,Team.ORLANDO_MAGIC,1/9/2013,Location.AWAY
126,rubiori01,pekovni01,rubiori01,Team.MINNESOTA_TIMBERWOLVES,1/9/2013,Location.AWAY
127,conlemi01,gasolma01,gasolma01,Team.MEMPHIS_GRIZZLIES,1/9/2013,Location.AWAY
128,haywago01,jeffeal01,jeffeal01,Team.UTAH_JAZZ,1/9/2013,Location.AWAY
129,dragigo01,gortama01,dragigo01,Team.PHOENIX_SUNS,1/9/2013,Location.AWAY
130,thompkl01,ezelife01,thompkl01,Team.GOLDEN_STATE_WARRIORS,1/9/2013,Location.HOME
131,derozde01,johnsam01,derozde01,Team.TORONTO_RAPTORS,1/9/2013,Location.HOME
132,piercpa01,garneke01,piercpa01,Team.BOSTON_CELTICS,1/9/2013,Location.HOME
133,parketo01,duncati01,parketo01,Team.SAN_ANTONIO_SPURS,1/9/2013,Location.HOME
134,duranke01,ibakase01,duranke01,Team.OKLAHOMA_CITY_THUNDER,1/9/2013,Location.HOME
135,ellismo01,sandela01,ellismo01,Team.MILWAUKEE_BUCKS,1/9/2013,Location.AWAY
136,irvinky01,thomptr01,irvinky01,Team.CLEVELAND_CAVALIERS,1/9/2013,Location.HOME
137,hardeja01,asikom01,hardeja01,Team.HOUSTON_ROCKETS,1/9/2013,Location.AWAY
138,walkeke02,biyombi01,walkeke02,Team.CHARLOTTE_BOBCATS,1/9/2013,Location.HOME
139,mayooj01,jamesbe01,mayooj01,Team.DALLAS_MAVERICKS,1/10/2013,Location.AWAY
140,lillada01,aldrila01,aldrila01,Team.PORTLAND_TRAIL_BLAZERS,1/10/2013,Location.HOME
141,thomais02,couside01,couside01,Team.SACRAMENTO_KINGS,1/10/2013,Location.HOME
142,smithjr01,chandty01,chandty01,Team.NEW_YORK_KNICKS,1/10/2013,Location.AWAY
143,jamesle01,boshch01,jamesle01,Team.MIAMI_HEAT,1/10/2013,Location.AWAY
144,hillge01,hibbero01,georgpa01,Team.INDIANA_PACERS,1/10/2013,Location.HOME
145,teaguje01,horfoal01,horfoal01,Team.ATLANTA_HAWKS,1/11/2013,Location.HOME
146,bryanko01,sacrero01,bryanko01,Team.LOS_ANGELES_LAKERS,1/11/2013,Location.HOME
147,vasqugr01,davisan02,vasqugr01,Team.NEW_ORLEANS_HORNETS,1/11/2013,Location.HOME
148,lawsoty01,koufoko01,lawsoty01,Team.DENVER_NUGGETS,1/11/2013,Location.HOME
149,lillada01,aldrila01,aldrila01,Team.PORTLAND_TRAIL_BLAZERS,1/11/2013,Location.AWAY
150,smithjr01,chandty01,anthoca01,Team.NEW_YORK_KNICKS,1/11/2013,Location.HOME
151,stuckro01,monrogr01,monrogr01,Team.DETROIT_PISTONS,1/11/2013,Location.AWAY
152,robinna01,boozeca01,boozeca01,Team.CHICAGO_BULLS,1/11/2013,Location.AWAY
153,willide01,lopezbr01,willide01,Team.BROOKLYN_NETS,1/11/2013,Location.HOME
154,rubiori01,pekovni01,rubiori01,Team.MINNESOTA_TIMBERWOLVES,1/11/2013,Location.AWAY
155,conlemi01,gasolma01,gasolma01,Team.MEMPHIS_GRIZZLIES,1/11/2013,Location.HOME
156,haywago01,jeffeal01,jeffeal01,Team.UTAH_JAZZ,1/11/2013,Location.AWAY
157,dragigo01,gortama01,dragigo01,Team.PHOENIX_SUNS,1/11/2013,Location.AWAY
158,curryst01,ezelife01,curryst01,Team.GOLDEN_STATE_WARRIORS,1/11/2013,Location.HOME
159,derozde01,johnsam01,derozde01,Team.TORONTO_RAPTORS,1/11/2013,Location.HOME
160,piercpa01,garneke01,piercpa01,Team.BOSTON_CELTICS,1/11/2013,Location.HOME
161,parketo01,duncati01,parketo01,Team.SAN_ANTONIO_SPURS,1/11/2013,Location.AWAY
162,duranke01,ibakase01,duranke01,Team.OKLAHOMA_CITY_THUNDER,1/11/2013,Location.AWAY
163,ellismo01,sandela01,ellismo01,Team.MILWAUKEE_BUCKS,1/11/2013,Location.HOME
164,irvinky01,thomptr01,irvinky01,Team.CLEVELAND_CAVALIERS,1/11/2013,Location.AWAY
165,hardeja01,asikom01,hardeja01,Team.HOUSTON_ROCKETS,1/11/2013,Location.AWAY
166,walkeke02,biyombi01,walkeke02,Team.CHARLOTTE_BOBCATS,1/11/2013,Location.AWAY
167,teaguje01,horfoal01,horfoal01,Team.ATLANTA_HAWKS,1/12/2013,Location.AWAY
168,holidjr01,hawessp01,holidjr01,Team.PHILADELPHIA_76ERS,1/12/2013,Location.HOME
169,paulch01,jordade01,paulch01,Team.LOS_ANGELES_CLIPPERS,1/12/2013,Location.HOME
170,collida01,kamanch01,nowitdi01,Team.DALLAS_MAVERICKS,1/12/2013,Location.HOME
171,thomais02,couside01,couside01,Team.SACRAMENTO_KINGS,1/12/2013,Location.HOME
172,walljo01,okafoem01,walljo01,Team.WASHINGTON_WIZARDS,1/12/2013,Location.HOME
173,stuckro01,monrogr01,monrogr01,Team.DETROIT_PISTONS,1/12/2013,Location.HOME
174,robinna01,boozeca01,boozeca01,Team.CHICAGO_BULLS,1/12/2013,Location.HOME
175,afflaar01,vucevni01,afflaar01,Team.ORLANDO_MAGIC,1/12/2013,Location.AWAY
176,conlemi01,gasolma01,gasolma01,Team.MEMPHIS_GRIZZLIES,1/12/2013,Location.AWAY
177,haywago01,jeffeal01,jeffeal01,Team.UTAH_JAZZ,1/12/2013,Location.AWAY
178,dragigo01,gortama01,dragigo01,Team.PHOENIX_SUNS,1/12/2013,Location.AWAY
179,jamesle01,boshch01,jamesle01,Team.MIAMI_HEAT,1/12/2013,Location.AWAY
180,stephla01,westda01,stephla01,Team.INDIANA_PACERS,1/12/2013,Location.HOME
181,hardeja01,asikom01,hardeja01,Team.HOUSTON_ROCKETS,1/12/2013,Location.AWAY
182,walkeke02,biyombi01,walkeke02,Team.CHARLOTTE_BOBCATS,1/12/2013,Location.AWAY
183,bryanko01,howardw01,bryanko01,Team.LOS_ANGELES_LAKERS,1/13/2013,Location.HOME
184,vasqugr01,davisan02,vasqugr01,Team.NEW_ORLEANS_HORNETS,1/13/2013,Location.AWAY
185,lawsoty01,koufoko01,lawsoty01,Team.DENVER_NUGGETS,1/13/2013,Location.HOME
186,lillada01,aldrila01,aldrila01,Team.PORTLAND_TRAIL_BLAZERS,1/13/2013,Location.HOME
187,smithjr01,chandty01,anthoca01,Team.NEW_YORK_KNICKS,1/13/2013,Location.HOME
188,willide01,lopezbr01,willide01,Team.BROOKLYN_NETS,1/13/2013,Location.HOME
189,rubiori01,pekovni01,rubiori01,Team.MINNESOTA_TIMBERWOLVES,1/13/2013,Location.AWAY
190,curryst01,ezelife01,curryst01,Team.GOLDEN_STATE_WARRIORS,1/13/2013,Location.AWAY
191,derozde01,johnsam01,derozde01,Team.TORONTO_RAPTORS,1/13/2013,Location.HOME
