,p1,p2,p3,team,date,venue
2639,Goran Dragi?,Kelly Olynyk,Josh Richardson,Team.MIAMI_HEAT,1/3/2018,Location.HOME
2640,Jimmy Butler,Karl-Anthony Towns,Andrew Wiggins,Team.MINNESOTA_TIMBERWOLVES,1/3/2018,Location.AWAY
2641,Ben Simmons,Joel Embiid,Dario ?ari?,Team.PHILADELPHIA_76ERS,1/3/2018,Location.HOME
2642,J.J. Barea,Dwight Powell,Harrison Barnes,Team.DALLAS_MAVERICKS,1/3/2018,Location.HOME
2643,Russell Westbrook,Steven Adams,Paul George,Team.OKLAHOMA_CITY_THUNDER,1/3/2018,Location.AWAY
2644,Courtney Lee,Enes Kanter,Kristaps Porzi??is,Team.NEW_YORK_KNICKS,1/3/2018,Location.AWAY
2645,Kentavious Caldwell-Pope,Julius Randle,Kyle Kuzma,Team.LOS_ANGELES_LAKERS,1/3/2018,Location.HOME
2646,LeBron James,Tristan Thompson,Kevin Love,Team.CLEVELAND_CAVALIERS,1/3/2018,Location.AWAY
2647,Luke Kennard,Boban Marjanovi?,Reggie Bullock,Team.DETROIT_PISTONS,1/3/2018,Location.AWAY
2648,Elfrid Payton,Marreese Speights,Mario Hezonja,Team.ORLANDO_MAGIC,1/3/2018,Location.HOME
2649,Darren Collison,Domantas Sabonis,Lance Stephenson,Team.INDIANA_PACERS,1/3/2018,Location.AWAY
2650,Gerald Green,Clint Capela,Ryan Anderson,Team.HOUSTON_ROCKETS,1/3/2018,Location.AWAY
2651,Kevin Durant,David West,Stephen Curry,Team.GOLDEN_STATE_WARRIORS,1/3/2018,Location.AWAY
2652,DeMar DeRozan,Jonas Valan?i?nas,Kyle Lowry,Team.TORONTO_RAPTORS,1/3/2018,Location.AWAY
2653,Kyrie Irving,Al Horford,Jayson Tatum,Team.BOSTON_CELTICS,1/3/2018,Location.HOME
2654,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Team.SAN_ANTONIO_SPURS,1/3/2018,Location.AWAY
2655,Spencer Dinwiddie,Jarrett Allen,Rondae Hollis-Jefferson,Team.BROOKLYN_NETS,1/3/2018,Location.HOME
2656,Josh Jackson,Greg Monroe,T.J. Warren,Team.PHOENIX_SUNS,1/3/2018,Location.AWAY
2657,Will Barton,Nikola Joki?,Jamal Murray,Team.DENVER_NUGGETS,1/3/2018,Location.HOME
2658,Joe Johnson,Derrick Favors,Donovan Mitchell,Team.UTAH_JAZZ,1/3/2018,Location.HOME
2659,Bradley Beal,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/5/2018,Location.AWAY
2660,Denzel Valentine,Lauri Markkanen,Bobby Portis,Team.CHICAGO_BULLS,1/5/2018,Location.AWAY
2661,Giannis Antetokounmpo,John Henson,Khris Middleton,Team.MILWAUKEE_BUCKS,1/5/2018,Location.HOME
2662,Goran Dragi?,Kelly Olynyk,Josh Richardson,Team.MIAMI_HEAT,1/5/2018,Location.HOME
2663,Jimmy Butler,Karl-Anthony Towns,Andrew Wiggins,Team.MINNESOTA_TIMBERWOLVES,1/5/2018,Location.AWAY
2664,Ben Simmons,Joel Embiid,Dario ?ari?,Team.PHILADELPHIA_76ERS,1/5/2018,Location.HOME
2665,J.J. Barea,Dwight Powell,Harrison Barnes,Team.DALLAS_MAVERICKS,1/5/2018,Location.HOME
2666,Kemba Walker,Dwight Howard,Jeremy Lamb,Team.CHARLOTTE_HORNETS,1/5/2018,Location.AWAY
2667,Courtney Lee,Enes Kanter,Kristaps Porzi??is,Team.NEW_YORK_KNICKS,1/5/2018,Location.AWAY
2668,Kentavious Caldwell-Pope,Julius Randle,Kyle Kuzma,Team.LOS_ANGELES_LAKERS,1/5/2018,Location.HOME
2669,Dennis Schröder,Miles Plumlee,Ersan ?lyasova,Team.ATLANTA_HAWKS,1/5/2018,Location.AWAY
2670,Ish Smith,Andre Drummond,Tobias Harris,Team.DETROIT_PISTONS,1/5/2018,Location.AWAY
2671,DeMar DeRozan,Jonas Valan?i?nas,Kyle Lowry,Team.TORONTO_RAPTORS,1/5/2018,Location.AWAY
2672,Kyrie Irving,Al Horford,Jayson Tatum,Team.BOSTON_CELTICS,1/5/2018,Location.HOME
2673,Manu Ginóbili,Pau Gasol,Kawhi Leonard,Team.SAN_ANTONIO_SPURS,1/5/2018,Location.HOME
2674,Tyreke Evans,Marc Gasol,Dillon Brooks,Team.MEMPHIS_GRIZZLIES,1/5/2018,Location.HOME
2675,Devin Booker,Alex Len,Danuel House,Team.PHOENIX_SUNS,1/5/2018,Location.AWAY
2676,Damian Lillard,Jusuf Nurki?,CJ McCollum,Team.PORTLAND_TRAIL_BLAZERS,1/5/2018,Location.HOME
2677,Will Barton,Nikola Joki?,Jamal Murray,Team.DENVER_NUGGETS,1/5/2018,Location.HOME
2678,Donovan Mitchell,Derrick Favors,Ricky Rubio,Team.UTAH_JAZZ,1/5/2018,Location.AWAY
2679,John Wall,Marcin Gortat,Markieff Morris,Team.WASHINGTON_WIZARDS,1/6/2018,Location.HOME
2680,Denzel Valentine,Lauri Markkanen,Bobby Portis,Team.CHICAGO_BULLS,1/6/2018,Location.AWAY
2681,Jrue Holiday,Anthony Davis,DeMarcus Cousins,Team.NEW_ORLEANS_PELICANS,1/6/2018,Location.AWAY
2682,Giannis Antetokounmpo,John Henson,Khris Middleton,Team.MILWAUKEE_BUCKS,1/6/2018,Location.AWAY
2683,Jimmy Butler,Karl-Anthony Towns,Andrew Wiggins,Team.MINNESOTA_TIMBERWOLVES,1/6/2018,Location.HOME
2684,LeBron James,Tristan Thompson,Kevin Love,Team.CLEVELAND_CAVALIERS,1/6/2018,Location.AWAY
2685,Ish Smith,Eric Moreland,Tobias Harris,Team.DETROIT_PISTONS,1/6/2018,Location.HOME
2686,Elfrid Payton,Bismack Biyombo,Aaron Gordon,Team.ORLANDO_MAGIC,1/6/2018,Location.HOME
2687,Victor Oladipo,Domantas Sabonis,Thaddeus Young,Team.INDIANA_PACERS,1/6/2018,Location.HOME
2688,Chris Paul,Tarik Black,Eric Gordon,Team.HOUSTON_ROCKETS,1/6/2018,Location.AWAY
2689,Lou Williams,DeAndre Jordan,Montrezl Harrell,Team.LOS_ANGELES_CLIPPERS,1/6/2018,Location.HOME
2690,Stephen Curry,JaVale McGee,Draymond Green,Team.GOLDEN_STATE_WARRIORS,1/6/2018,Location.AWAY
2691,Kyrie Irving,Daniel Theis,Jayson Tatum,Team.BOSTON_CELTICS,1/6/2018,Location.AWAY
2692,Spencer Dinwiddie,Jarrett Allen,Rondae Hollis-Jefferson,Team.BROOKLYN_NETS,1/6/2018,Location.HOME
2693,Buddy Hield,Willie Cauley-Stein,Bogdan Bogdanovi?,Team.SACRAMENTO_KINGS,1/6/2018,Location.HOME
2694,Will Barton,Nikola Joki?,Jamal Murray,Team.DENVER_NUGGETS,1/6/2018,Location.AWAY
2695,Bradley Beal,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/10/2018,Location.HOME
2696,Denzel Valentine,Lauri Markkanen,Bobby Portis,Team.CHICAGO_BULLS,1/10/2018,Location.AWAY
2697,Rajon Rondo,DeMarcus Cousins,Jrue Holiday,Team.NEW_ORLEANS_PELICANS,1/10/2018,Location.AWAY
2698,Giannis Antetokounmpo,John Henson,Khris Middleton,Team.MILWAUKEE_BUCKS,1/10/2018,Location.HOME
2699,Goran Dragi?,Kelly Olynyk,Josh Richardson,Team.MIAMI_HEAT,1/10/2018,Location.AWAY
2700,Jimmy Butler,Karl-Anthony Towns,Andrew Wiggins,Team.MINNESOTA_TIMBERWOLVES,1/10/2018,Location.HOME
2701,J.J. Barea,Dwight Powell,Harrison Barnes,Team.DALLAS_MAVERICKS,1/10/2018,Location.AWAY
2702,Russell Westbrook,Steven Adams,Paul George,Team.OKLAHOMA_CITY_THUNDER,1/10/2018,Location.AWAY
2703,Kemba Walker,Dwight Howard,Jeremy Lamb,Team.CHARLOTTE_HORNETS,1/10/2018,Location.HOME
2704,Courtney Lee,Enes Kanter,Kristaps Porzi??is,Team.NEW_YORK_KNICKS,1/10/2018,Location.HOME
2705,Dennis Schröder,Dewayne Dedmon,Taurean Waller-Prince,Team.ATLANTA_HAWKS,1/10/2018,Location.AWAY
2706,Ish Smith,Andre Drummond,Tobias Harris,Team.DETROIT_PISTONS,1/10/2018,Location.AWAY
2707,Evan Fournier,Bismack Biyombo,Marreese Speights,Team.ORLANDO_MAGIC,1/10/2018,Location.AWAY
2708,Victor Oladipo,Domantas Sabonis,Thaddeus Young,Team.INDIANA_PACERS,1/10/2018,Location.HOME
2709,Chris Paul,Tarik Black,Eric Gordon,Team.HOUSTON_ROCKETS,1/10/2018,Location.HOME
2710,Lou Williams,DeAndre Jordan,Montrezl Harrell,Team.LOS_ANGELES_CLIPPERS,1/10/2018,Location.AWAY
2711,Kevin Durant,Zaza Pachulia,Andre Iguodala,Team.GOLDEN_STATE_WARRIORS,1/10/2018,Location.HOME
2712,Spencer Dinwiddie,Jarrett Allen,Rondae Hollis-Jefferson,Team.BROOKLYN_NETS,1/10/2018,Location.HOME
2713,Tyreke Evans,Marc Gasol,Dillon Brooks,Team.MEMPHIS_GRIZZLIES,1/10/2018,Location.HOME
2714,Damian Lillard,Jusuf Nurki?,CJ McCollum,Team.PORTLAND_TRAIL_BLAZERS,1/10/2018,Location.AWAY
2715,Will Barton,Nikola Joki?,Jamal Murray,Team.DENVER_NUGGETS,1/10/2018,Location.HOME
2716,Joe Johnson,Ekpe Udoh,Ricky Rubio,Team.UTAH_JAZZ,1/10/2018,Location.AWAY
2717,Bradley Beal,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/12/2018,Location.HOME
2718,Jrue Holiday,Anthony Davis,DeMarcus Cousins,Team.NEW_ORLEANS_PELICANS,1/12/2018,Location.HOME
2719,Giannis Antetokounmpo,John Henson,Khris Middleton,Team.MILWAUKEE_BUCKS,1/12/2018,Location.HOME
2720,Jimmy Butler,Karl-Anthony Towns,Andrew Wiggins,Team.MINNESOTA_TIMBERWOLVES,1/12/2018,Location.HOME
2721,Kemba Walker,Dwight Howard,Jeremy Lamb,Team.CHARLOTTE_HORNETS,1/12/2018,Location.HOME
2722,Courtney Lee,Enes Kanter,Kristaps Porzi??is,Team.NEW_YORK_KNICKS,1/12/2018,Location.AWAY
2723,Dennis Schröder,Dewayne Dedmon,Taurean Waller-Prince,Team.ATLANTA_HAWKS,1/12/2018,Location.HOME
2724,LeBron James,Tristan Thompson,Kevin Love,Team.CLEVELAND_CAVALIERS,1/12/2018,Location.AWAY
2725,Elfrid Payton,Bismack Biyombo,Jonathon Simmons,Team.ORLANDO_MAGIC,1/12/2018,Location.AWAY
2726,Victor Oladipo,Domantas Sabonis,Thaddeus Young,Team.INDIANA_PACERS,1/12/2018,Location.HOME
2727,Chris Paul,Clint Capela,Ryan Anderson,Team.HOUSTON_ROCKETS,1/12/2018,Location.AWAY
2728,Kevin Durant,Kevon Looney,Draymond Green,Team.GOLDEN_STATE_WARRIORS,1/12/2018,Location.AWAY
2729,Spencer Dinwiddie,Jarrett Allen,Rondae Hollis-Jefferson,Team.BROOKLYN_NETS,1/12/2018,Location.AWAY
2730,Tyreke Evans,Marc Gasol,Dillon Brooks,Team.MEMPHIS_GRIZZLIES,1/12/2018,Location.AWAY
2731,Devin Booker,Alex Len,T.J. Warren,Team.PHOENIX_SUNS,1/12/2018,Location.HOME
2732,Damian Lillard,Jusuf Nurki?,CJ McCollum,Team.PORTLAND_TRAIL_BLAZERS,1/12/2018,Location.AWAY
2733,Will Barton,Nikola Joki?,Jamal Murray,Team.DENVER_NUGGETS,1/12/2018,Location.HOME
