,p1,p2,p3,team,date,venue
1,John Wall,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/1/2016,Location.HOME
2,Jimmy Butler,Pau Gasol,Nikola Miroti?,Team.CHICAGO_BULLS,1/1/2016,Location.HOME
3,Dwyane Wade,Hassan Whiteside,Luol Deng,Team.MIAMI_HEAT,1/1/2016,Location.HOME
4,Ish Smith,Nerlens Noel,Robert Covington,Team.PHILADELPHIA_76ERS,1/1/2016,Location.AWAY
5,Wesley Matthews,Zaza Pachulia,Dirk Nowitzki,Team.DALLAS_MAVERICKS,1/1/2016,Location.AWAY
6,Kemba Walker,Cody Zeller,Marvin Williams,Team.CHARLOTTE_HORNETS,1/1/2016,Location.AWAY
7,Arron Afflalo,Robin Lopez,Carmelo Anthony,Team.NEW_YORK_KNICKS,1/1/2016,Location.AWAY
8,Jordan Clarkson,Julius Randle,Lou Williams,Team.LOS_ANGELES_LAKERS,1/1/2016,Location.HOME
9,Victor Oladipo,Nikola Vu?evi?,Evan Fournier,Team.ORLANDO_MAGIC,1/1/2016,Location.AWAY
10,Kyle Lowry,Jonas Valan?i?nas,DeMar DeRozan,Team.TORONTO_RAPTORS,1/1/2016,Location.HOME
11,John Wall,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/3/2016,Location.HOME
12,Jimmy Butler,Pau Gasol,Nikola Miroti?,Team.CHICAGO_BULLS,1/3/2016,Location.AWAY
13,Dwyane Wade,Hassan Whiteside,Luol Deng,Team.MIAMI_HEAT,1/3/2016,Location.AWAY
14,Arron Afflalo,Robin Lopez,Carmelo Anthony,Team.NEW_YORK_KNICKS,1/3/2016,Location.HOME
15,Jordan Clarkson,Julius Randle,Lou Williams,Team.LOS_ANGELES_LAKERS,1/3/2016,Location.HOME
16,Jeff Teague,Al Horford,Paul Millsap,Team.ATLANTA_HAWKS,1/3/2016,Location.AWAY
17,Kyle Lowry,Jonas Valan?i?nas,DeMar DeRozan,Team.TORONTO_RAPTORS,1/3/2016,Location.HOME
18,Devin Booker,Tyson Chandler,Mirza Teletovi?,Team.PHOENIX_SUNS,1/3/2016,Location.AWAY
19,CJ McCollum,Mason Plumlee,Gerald Henderson,Team.PORTLAND_TRAIL_BLAZERS,1/3/2016,Location.AWAY
20,Gary Harris,Nikola Joki?,Kenneth Faried,Team.DENVER_NUGGETS,1/3/2016,Location.HOME
21,John Wall,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/6/2016,Location.HOME
22,Jrue Holiday,Anthony Davis,Ryan Anderson,Team.NEW_ORLEANS_PELICANS,1/6/2016,Location.HOME
23,Dwyane Wade,Hassan Whiteside,Luol Deng,Team.MIAMI_HEAT,1/6/2016,Location.HOME
24,Andrew Wiggins,Karl-Anthony Towns,Ricky Rubio,Team.MINNESOTA_TIMBERWOLVES,1/6/2016,Location.HOME
25,Raymond Felton,Dwight Powell,Chandler Parsons,Team.DALLAS_MAVERICKS,1/6/2016,Location.AWAY
26,Kevin Durant,Enes Kanter,Russell Westbrook,Team.OKLAHOMA_CITY_THUNDER,1/6/2016,Location.HOME
27,Kemba Walker,Cody Zeller,Marvin Williams,Team.CHARLOTTE_HORNETS,1/6/2016,Location.AWAY
28,Arron Afflalo,Robin Lopez,Carmelo Anthony,Team.NEW_YORK_KNICKS,1/6/2016,Location.AWAY
29,LeBron James,Tristan Thompson,Kyrie Irving,Team.CLEVELAND_CAVALIERS,1/6/2016,Location.AWAY
30,Reggie Jackson,Andre Drummond,Marcus Morris,Team.DETROIT_PISTONS,1/6/2016,Location.AWAY
31,Victor Oladipo,Nikola Vu?evi?,Evan Fournier,Team.ORLANDO_MAGIC,1/6/2016,Location.HOME
32,Monta Ellis,Myles Turner,Paul George,Team.INDIANA_PACERS,1/6/2016,Location.AWAY
33,Chris Paul,DeAndre Jordan,J.J. Redick,Team.LOS_ANGELES_CLIPPERS,1/6/2016,Location.AWAY
34,Kyle Lowry,Jonas Valan?i?nas,DeMar DeRozan,Team.TORONTO_RAPTORS,1/6/2016,Location.AWAY
35,Isaiah Thomas,Amir Johnson,Evan Turner,Team.BOSTON_CELTICS,1/6/2016,Location.HOME
36,Kyle Anderson,Tim Duncan,David West,Team.SAN_ANTONIO_SPURS,1/6/2016,Location.HOME
37,Donald Sloan,Brook Lopez,Thaddeus Young,Team.BROOKLYN_NETS,1/6/2016,Location.HOME
38,Tony Allen,Zach Randolph,Matt Barnes,Team.MEMPHIS_GRIZZLIES,1/6/2016,Location.AWAY
39,Devin Booker,Tyson Chandler,Mirza Teletovi?,Team.PHOENIX_SUNS,1/6/2016,Location.HOME
40,Damian Lillard,Mason Plumlee,Ed Davis,Team.PORTLAND_TRAIL_BLAZERS,1/6/2016,Location.HOME
41,Gary Harris,Nikola Joki?,Kenneth Faried,Team.DENVER_NUGGETS,1/6/2016,Location.AWAY
42,Trey Burke,Jeff Withey,Gordon Hayward,Team.UTAH_JAZZ,1/6/2016,Location.AWAY
43,John Wall,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/8/2016,Location.HOME
44,Tyreke Evans,Alexis Ajinça,Ryan Anderson,Team.NEW_ORLEANS_PELICANS,1/8/2016,Location.HOME
45,Giannis Antetokounmpo,Greg Monroe,Khris Middleton,Team.MILWAUKEE_BUCKS,1/8/2016,Location.HOME
46,Dwyane Wade,Hassan Whiteside,Luol Deng,Team.MIAMI_HEAT,1/8/2016,Location.AWAY
47,Andrew Wiggins,Karl-Anthony Towns,Ricky Rubio,Team.MINNESOTA_TIMBERWOLVES,1/8/2016,Location.HOME
48,Wesley Matthews,Zaza Pachulia,Dirk Nowitzki,Team.DALLAS_MAVERICKS,1/8/2016,Location.AWAY
49,Kevin Durant,Enes Kanter,Russell Westbrook,Team.OKLAHOMA_CITY_THUNDER,1/8/2016,Location.AWAY
50,Arron Afflalo,Robin Lopez,Carmelo Anthony,Team.NEW_YORK_KNICKS,1/8/2016,Location.AWAY
51,Jordan Clarkson,Julius Randle,Lou Williams,Team.LOS_ANGELES_LAKERS,1/8/2016,Location.HOME
52,LeBron James,Tristan Thompson,Kyrie Irving,Team.CLEVELAND_CAVALIERS,1/8/2016,Location.AWAY
53,Victor Oladipo,Nikola Vu?evi?,Evan Fournier,Team.ORLANDO_MAGIC,1/8/2016,Location.AWAY
54,Monta Ellis,Myles Turner,Paul George,Team.INDIANA_PACERS,1/8/2016,Location.AWAY
55,Stephen Curry,Andrew Bogut,Klay Thompson,Team.GOLDEN_STATE_WARRIORS,1/8/2016,Location.AWAY
56,Kyle Lowry,Jonas Valan?i?nas,DeMar DeRozan,Team.TORONTO_RAPTORS,1/8/2016,Location.AWAY
57,Tony Parker,LaMarcus Aldridge,Kawhi Leonard,Team.SAN_ANTONIO_SPURS,1/8/2016,Location.HOME
58,Donald Sloan,Brook Lopez,Thaddeus Young,Team.BROOKLYN_NETS,1/8/2016,Location.HOME
59,Tony Allen,Zach Randolph,Matt Barnes,Team.MEMPHIS_GRIZZLIES,1/8/2016,Location.HOME
60,Devin Booker,Tyson Chandler,Mirza Teletovi?,Team.PHOENIX_SUNS,1/8/2016,Location.HOME
61,Damian Lillard,Mason Plumlee,CJ McCollum,Team.PORTLAND_TRAIL_BLAZERS,1/8/2016,Location.HOME
62,Gary Harris,Nikola Joki?,Danilo Gallinari,Team.DENVER_NUGGETS,1/8/2016,Location.AWAY
63,John Wall,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/9/2016,Location.AWAY
64,Jimmy Butler,Pau Gasol,Derrick Rose,Team.CHICAGO_BULLS,1/9/2016,Location.AWAY
65,Dwyane Wade,Hassan Whiteside,Luol Deng,Team.MIAMI_HEAT,1/9/2016,Location.AWAY
66,Ish Smith,Jahlil Okafor,Carl Landry,Team.PHILADELPHIA_76ERS,1/9/2016,Location.HOME
67,Kemba Walker,Cody Zeller,Marvin Williams,Team.CHARLOTTE_HORNETS,1/9/2016,Location.AWAY
68,Jeff Teague,Al Horford,Paul Millsap,Team.ATLANTA_HAWKS,1/9/2016,Location.HOME
69,Reggie Jackson,Andre Drummond,Ersan ?lyasova,Team.DETROIT_PISTONS,1/9/2016,Location.HOME
70,Victor Oladipo,Nikola Vu?evi?,Evan Fournier,Team.ORLANDO_MAGIC,1/9/2016,Location.HOME
71,Chris Paul,DeAndre Jordan,J.J. Redick,Team.LOS_ANGELES_CLIPPERS,1/9/2016,Location.HOME
72,Stephen Curry,Andrew Bogut,Klay Thompson,Team.GOLDEN_STATE_WARRIORS,1/9/2016,Location.AWAY
73,Kyle Lowry,Jonas Valan?i?nas,DeMar DeRozan,Team.TORONTO_RAPTORS,1/9/2016,Location.AWAY
74,Donald Sloan,Brook Lopez,Thaddeus Young,Team.BROOKLYN_NETS,1/9/2016,Location.AWAY
75,Rajon Rondo,DeMarcus Cousins,Darren Collison,Team.SACRAMENTO_KINGS,1/9/2016,Location.HOME
76,Gordon Hayward,Rudy Gobert,Chris Johnson,Team.UTAH_JAZZ,1/9/2016,Location.HOME
77,John Wall,Nenê Hilário,Ramon Sessions,Team.WASHINGTON_WIZARDS,1/11/2016,Location.AWAY
78,Jimmy Butler,Pau Gasol,Derrick Rose,Team.CHICAGO_BULLS,1/11/2016,Location.HOME
79,Dwyane Wade,Chris Bosh,Tyler Johnson,Team.MIAMI_HEAT,1/11/2016,Location.AWAY
80,Stephen Curry,Andrew Bogut,Klay Thompson,Team.GOLDEN_STATE_WARRIORS,1/11/2016,Location.HOME
81,Tony Parker,LaMarcus Aldridge,Kawhi Leonard,Team.SAN_ANTONIO_SPURS,1/11/2016,Location.AWAY
82,Donald Sloan,Brook Lopez,Thaddeus Young,Team.BROOKLYN_NETS,1/11/2016,Location.HOME
83,Garrett Temple,Nenê Hilário,John Wall,Team.WASHINGTON_WIZARDS,1/13/2016,Location.HOME
84,Jrue Holiday,Anthony Davis,Ryan Anderson,Team.NEW_ORLEANS_PELICANS,1/13/2016,Location.AWAY
85,Giannis Antetokounmpo,Greg Monroe,Khris Middleton,Team.MILWAUKEE_BUCKS,1/13/2016,Location.AWAY
86,Dwyane Wade,Hassan Whiteside,Luol Deng,Team.MIAMI_HEAT,1/13/2016,Location.AWAY
87,Andrew Wiggins,Karl-Anthony Towns,Ricky Rubio,Team.MINNESOTA_TIMBERWOLVES,1/13/2016,Location.AWAY
88,J.J. Barea,Salah Mejri,JaVale McGee,Team.DALLAS_MAVERICKS,1/13/2016,Location.AWAY
89,Kevin Durant,Enes Kanter,Russell Westbrook,Team.OKLAHOMA_CITY_THUNDER,1/13/2016,Location.HOME
90,Kemba Walker,Cody Zeller,Marvin Williams,Team.CHARLOTTE_HORNETS,1/13/2016,Location.HOME
91,José Calderón,Kristaps Porzi??is,Derrick Williams,Team.NEW_YORK_KNICKS,1/13/2016,Location.AWAY
92,Jeff Teague,Al Horford,Paul Millsap,Team.ATLANTA_HAWKS,1/13/2016,Location.AWAY
93,Monta Ellis,Myles Turner,Paul George,Team.INDIANA_PACERS,1/13/2016,Location.AWAY
94,James Harden,Dwight Howard,Trevor Ariza,Team.HOUSTON_ROCKETS,1/13/2016,Location.HOME
95,Chris Paul,Cole Aldrich,Paul Pierce,Team.LOS_ANGELES_CLIPPERS,1/13/2016,Location.HOME
96,Stephen Curry,Andrew Bogut,Klay Thompson,Team.GOLDEN_STATE_WARRIORS,1/13/2016,Location.AWAY
97,Isaiah Thomas,Amir Johnson,Evan Turner,Team.BOSTON_CELTICS,1/13/2016,Location.HOME
98,Donald Sloan,Brook Lopez,Thaddeus Young,Team.BROOKLYN_NETS,1/13/2016,Location.HOME
99,Rajon Rondo,DeMarcus Cousins,Darren Collison,Team.SACRAMENTO_KINGS,1/13/2016,Location.HOME
100,Damian Lillard,Mason Plumlee,CJ McCollum,Team.PORTLAND_TRAIL_BLAZERS,1/13/2016,Location.HOME
101,Gary Harris,Nikola Joki?,Kenneth Faried,Team.DENVER_NUGGETS,1/13/2016,Location.HOME
102,Gordon Hayward,Rudy Gobert,Rodney Hood,Team.UTAH_JAZZ,1/13/2016,Location.AWAY
103,John Wall,DeJuan Blair,Bradley Beal,Team.WASHINGTON_WIZARDS,1/15/2016,Location.AWAY
104,Jimmy Butler,Pau Gasol,Derrick Rose,Team.CHICAGO_BULLS,1/15/2016,Location.HOME
105,Jrue Holiday,Anthony Davis,Ryan Anderson,Team.NEW_ORLEANS_PELICANS,1/15/2016,Location.HOME
106,Giannis Antetokounmpo,Greg Monroe,Khris Middleton,Team.MILWAUKEE_BUCKS,1/15/2016,Location.HOME
107,Beno Udrih,Hassan Whiteside,Chris Bosh,Team.MIAMI_HEAT,1/15/2016,Location.AWAY
108,Andrew Wiggins,Karl-Anthony Towns,Ricky Rubio,Team.MINNESOTA_TIMBERWOLVES,1/15/2016,Location.AWAY
109,Wesley Matthews,Zaza Pachulia,Dirk Nowitzki,Team.DALLAS_MAVERICKS,1/15/2016,Location.AWAY
110,Kevin Durant,Enes Kanter,Russell Westbrook,Team.OKLAHOMA_CITY_THUNDER,1/15/2016,Location.HOME
111,Kemba Walker,Cody Zeller,Marvin Williams,Team.CHARLOTTE_HORNETS,1/15/2016,Location.AWAY
112,Jeff Teague,Al Horford,Paul Millsap,Team.ATLANTA_HAWKS,1/15/2016,Location.AWAY
113,LeBron James,Tristan Thompson,Kyrie Irving,Team.CLEVELAND_CAVALIERS,1/15/2016,Location.AWAY
114,Monta Ellis,Myles Turner,Paul George,Team.INDIANA_PACERS,1/15/2016,Location.HOME
115,James Harden,Dwight Howard,Trevor Ariza,Team.HOUSTON_ROCKETS,1/15/2016,Location.HOME
116,Isaiah Thomas,Amir Johnson,Evan Turner,Team.BOSTON_CELTICS,1/15/2016,Location.HOME
117,Donald Sloan,Brook Lopez,Thaddeus Young,Team.BROOKLYN_NETS,1/15/2016,Location.HOME
118,Devin Booker,Tyson Chandler,Mirza Teletovi?,Team.PHOENIX_SUNS,1/15/2016,Location.AWAY
119,Damian Lillard,Mason Plumlee,CJ McCollum,Team.PORTLAND_TRAIL_BLAZERS,1/15/2016,Location.AWAY
120,Gary Harris,Nikola Joki?,Kenneth Faried,Team.DENVER_NUGGETS,1/15/2016,Location.HOME
121,John Wall,Marcin Gortat,Jared Dudley,Team.WASHINGTON_WIZARDS,1/16/2016,Location.HOME
122,Giannis Antetokounmpo,Greg Monroe,Khris Middleton,Team.MILWAUKEE_BUCKS,1/16/2016,Location.AWAY
123,Ish Smith,Nerlens Noel,Robert Covington,Team.PHILADELPHIA_76ERS,1/16/2016,Location.HOME
124,Kemba Walker,Cody Zeller,Marvin Williams,Team.CHARLOTTE_HORNETS,1/16/2016,Location.HOME
125,Langston Galloway,Kristaps Porzi??is,Derrick Williams,Team.NEW_YORK_KNICKS,1/16/2016,Location.AWAY
126,Jordan Clarkson,Julius Randle,Lou Williams,Team.LOS_ANGELES_LAKERS,1/16/2016,Location.AWAY
127,Jeff Teague,Al Horford,Paul Millsap,Team.ATLANTA_HAWKS,1/16/2016,Location.HOME
128,Reggie Jackson,Andre Drummond,Marcus Morris,Team.DETROIT_PISTONS,1/16/2016,Location.HOME
129,J.J. Redick,Cole Aldrich,Jamal Crawford,Team.LOS_ANGELES_CLIPPERS,1/16/2016,Location.HOME
130,Stephen Curry,Andrew Bogut,Klay Thompson,Team.GOLDEN_STATE_WARRIORS,1/16/2016,Location.AWAY
131,Isaiah Thomas,Amir Johnson,Evan Turner,Team.BOSTON_CELTICS,1/16/2016,Location.AWAY
132,Donald Sloan,Brook Lopez,Thaddeus Young,Team.BROOKLYN_NETS,1/16/2016,Location.AWAY
133,Tony Allen,Zach Randolph,Matt Barnes,Team.MEMPHIS_GRIZZLIES,1/16/2016,Location.HOME
134,Rajon Rondo,DeMarcus Cousins,Darren Collison,Team.SACRAMENTO_KINGS,1/16/2016,Location.AWAY
135,Damian Lillard,Mason Plumlee,CJ McCollum,Team.PORTLAND_TRAIL_BLAZERS,1/16/2016,Location.AWAY
136,Gordon Hayward,Rudy Gobert,Rodney Hood,Team.UTAH_JAZZ,1/16/2016,Location.HOME
137,Bradley Beal,Marcin Gortat,Garrett Temple,Team.WASHINGTON_WIZARDS,1/18/2016,Location.HOME
138,Jimmy Butler,Pau Gasol,Derrick Rose,Team.CHICAGO_BULLS,1/18/2016,Location.AWAY
139,Jrue Holiday,Anthony Davis,Ryan Anderson,Team.NEW_ORLEANS_PELICANS,1/18/2016,Location.AWAY
140,Ish Smith,Nerlens Noel,Robert Covington,Team.PHILADELPHIA_76ERS,1/18/2016,Location.AWAY
141,Wesley Matthews,Zaza Pachulia,Dirk Nowitzki,Team.DALLAS_MAVERICKS,1/18/2016,Location.HOME
142,Kemba Walker,Cody Zeller,Marvin Williams,Team.CHARLOTTE_HORNETS,1/18/2016,Location.HOME
143,Arron Afflalo,Robin Lopez,Carmelo Anthony,Team.NEW_YORK_KNICKS,1/18/2016,Location.HOME
144,Jeff Teague,Al Horford,Paul Millsap,Team.ATLANTA_HAWKS,1/18/2016,Location.HOME
145,LeBron James,Tristan Thompson,Kyrie Irving,Team.CLEVELAND_CAVALIERS,1/18/2016,Location.HOME
146,Reggie Jackson,Andre Drummond,Marcus Morris,Team.DETROIT_PISTONS,1/18/2016,Location.HOME
147,Elfrid Payton,Nikola Vu?evi?,Aaron Gordon,Team.ORLANDO_MAGIC,1/18/2016,Location.AWAY
148,James Harden,Dwight Howard,Trevor Ariza,Team.HOUSTON_ROCKETS,1/18/2016,Location.AWAY
149,Chris Paul,DeAndre Jordan,J.J. Redick,Team.LOS_ANGELES_CLIPPERS,1/18/2016,Location.HOME
150,Stephen Curry,Andrew Bogut,Klay Thompson,Team.GOLDEN_STATE_WARRIORS,1/18/2016,Location.AWAY
151,Kyle Lowry,Jonas Valan?i?nas,DeMar DeRozan,Team.TORONTO_RAPTORS,1/18/2016,Location.HOME
152,Isaiah Thomas,Amir Johnson,Evan Turner,Team.BOSTON_CELTICS,1/18/2016,Location.AWAY
153,Donald Sloan,Brook Lopez,Thaddeus Young,Team.BROOKLYN_NETS,1/18/2016,Location.AWAY
154,Tony Allen,Zach Randolph,Matt Barnes,Team.MEMPHIS_GRIZZLIES,1/18/2016,Location.HOME
155,Damian Lillard,Mason Plumlee,CJ McCollum,Team.PORTLAND_TRAIL_BLAZERS,1/18/2016,Location.AWAY
156,Gordon Hayward,Rudy Gobert,Rodney Hood,Team.UTAH_JAZZ,1/18/2016,Location.AWAY
157,Bradley Beal,Marcin Gortat,John Wall,Team.WASHINGTON_WIZARDS,1/20/2016,Location.HOME
158,Jimmy Butler,Pau Gasol,Derrick Rose,Team.CHICAGO_BULLS,1/20/2016,Location.HOME
159,Tyler Johnson,Chris Bosh,Luol Deng,Team.MIAMI_HEAT,1/20/2016,Location.AWAY
160,Andrew Wiggins,Karl-Anthony Towns,Ricky Rubio,Team.MINNESOTA_TIMBERWOLVES,1/20/2016,Location.AWAY
161,Ish Smith,Nerlens Noel,Robert Covington,Team.PHILADELPHIA_76ERS,1/20/2016,Location.AWAY
162,Devin Harris,Zaza Pachulia,Chandler Parsons,Team.DALLAS_MAVERICKS,1/20/2016,Location.HOME
163,Kevin Durant,Enes Kanter,Russell Westbrook,Team.OKLAHOMA_CITY_THUNDER,1/20/2016,Location.HOME
164,Kemba Walker,Cody Zeller,Marvin Williams,Team.CHARLOTTE_HORNETS,1/20/2016,Location.AWAY
165,Arron Afflalo,Robin Lopez,Carmelo Anthony,Team.NEW_YORK_KNICKS,1/20/2016,Location.HOME
166,Jordan Clarkson,Julius Randle,Lou Williams,Team.LOS_ANGELES_LAKERS,1/20/2016,Location.HOME
167,Jeff Teague,Al Horford,Paul Millsap,Team.ATLANTA_HAWKS,1/20/2016,Location.AWAY
168,LeBron James,Tristan Thompson,Kyrie Irving,Team.CLEVELAND_CAVALIERS,1/20/2016,Location.AWAY
169,Reggie Jackson,Andre Drummond,Marcus Morris,Team.DETROIT_PISTONS,1/20/2016,Location.AWAY
170,Elfrid Payton,Nikola Vu?evi?,Tobias Harris,Team.ORLANDO_MAGIC,1/20/2016,Location.HOME
171,James Harden,Clint Capela,Terrence Jones,Team.HOUSTON_ROCKETS,1/20/2016,Location.HOME
172,Stephen Curry,Andrew Bogut,Klay Thompson,Team.GOLDEN_STATE_WARRIORS,1/20/2016,Location.AWAY
173,Kyle Lowry,Jonas Valan?i?nas,DeMar DeRozan,Team.TORONTO_RAPTORS,1/20/2016,Location.HOME
174,Isaiah Thomas,Amir Johnson,Evan Turner,Team.BOSTON_CELTICS,1/20/2016,Location.AWAY
175,Donald Sloan,Brook Lopez,Thaddeus Young,Team.BROOKLYN_NETS,1/20/2016,Location.HOME
176,Rajon Rondo,DeMarcus Cousins,Darren Collison,Team.SACRAMENTO_KINGS,1/20/2016,Location.AWAY
177,Damian Lillard,Mason Plumlee,CJ McCollum,Team.PORTLAND_TRAIL_BLAZERS,1/20/2016,Location.HOME
178,Gordon Hayward,Rudy Gobert,Rodney Hood,Team.UTAH_JAZZ,1/20/2016,Location.AWAY
179,John Wall,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/25/2016,Location.HOME
180,Jimmy Butler,Pau Gasol,Derrick Rose,Team.CHICAGO_BULLS,1/25/2016,Location.HOME
181,Jrue Holiday,Anthony Davis,Ryan Anderson,Team.NEW_ORLEANS_PELICANS,1/25/2016,Location.HOME
182,Dwyane Wade,Chris Bosh,Justise Winslow,Team.MIAMI_HEAT,1/25/2016,Location.AWAY
183,Andrew Wiggins,Karl-Anthony Towns,Ricky Rubio,Team.MINNESOTA_TIMBERWOLVES,1/25/2016,Location.AWAY
184,Troy Daniels,Spencer Hawes,Kemba Walker,Team.CHARLOTTE_HORNETS,1/25/2016,Location.AWAY
185,Jeff Teague,Al Horford,Paul Millsap,Team.ATLANTA_HAWKS,1/25/2016,Location.AWAY
186,LeBron James,Tristan Thompson,Kyrie Irving,Team.CLEVELAND_CAVALIERS,1/25/2016,Location.HOME
187,Reggie Jackson,Andre Drummond,Marcus Morris,Team.DETROIT_PISTONS,1/25/2016,Location.AWAY
188,Victor Oladipo,Nikola Vu?evi?,Evan Fournier,Team.ORLANDO_MAGIC,1/25/2016,Location.AWAY
189,James Harden,Clint Capela,Trevor Ariza,Team.HOUSTON_ROCKETS,1/25/2016,Location.AWAY
190,Stephen Curry,Andrew Bogut,Klay Thompson,Team.GOLDEN_STATE_WARRIORS,1/25/2016,Location.HOME
191,Isaiah Thomas,Amir Johnson,Evan Turner,Team.BOSTON_CELTICS,1/25/2016,Location.AWAY
192,Tony Parker,LaMarcus Aldridge,Kawhi Leonard,Team.SAN_ANTONIO_SPURS,1/25/2016,Location.AWAY
193,Tony Allen,Zach Randolph,Matt Barnes,Team.MEMPHIS_GRIZZLIES,1/25/2016,Location.HOME
194,Rajon Rondo,DeMarcus Cousins,Darren Collison,Team.SACRAMENTO_KINGS,1/25/2016,Location.HOME
195,Gary Harris,Nikola Joki?,Kenneth Faried,Team.DENVER_NUGGETS,1/25/2016,Location.HOME
196,Gordon Hayward,Rudy Gobert,Rodney Hood,Team.UTAH_JAZZ,1/25/2016,Location.HOME
197,John Wall,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/26/2016,Location.AWAY
198,Giannis Antetokounmpo,Greg Monroe,Khris Middleton,Team.MILWAUKEE_BUCKS,1/26/2016,Location.HOME
199,Dwyane Wade,Chris Bosh,Justise Winslow,Team.MIAMI_HEAT,1/26/2016,Location.AWAY
200,Ish Smith,Nerlens Noel,Robert Covington,Team.PHILADELPHIA_76ERS,1/26/2016,Location.HOME
201,J.J. Barea,Salah Mejri,Chandler Parsons,Team.DALLAS_MAVERICKS,1/26/2016,Location.AWAY
202,Kevin Durant,Enes Kanter,Russell Westbrook,Team.OKLAHOMA_CITY_THUNDER,1/26/2016,Location.AWAY
203,Langston Galloway,Kristaps Porzi??is,Derrick Williams,Team.NEW_YORK_KNICKS,1/26/2016,Location.HOME
204,Jordan Clarkson,Julius Randle,Lou Williams,Team.LOS_ANGELES_LAKERS,1/26/2016,Location.HOME
205,Victor Oladipo,Nikola Vu?evi?,Evan Fournier,Team.ORLANDO_MAGIC,1/26/2016,Location.AWAY
206,Monta Ellis,Myles Turner,Paul George,Team.INDIANA_PACERS,1/26/2016,Location.HOME
207,Chris Paul,DeAndre Jordan,J.J. Redick,Team.LOS_ANGELES_CLIPPERS,1/26/2016,Location.AWAY
208,Kyle Lowry,Jonas Valan?i?nas,DeMar DeRozan,Team.TORONTO_RAPTORS,1/26/2016,Location.HOME
209,Donald Sloan,Brook Lopez,Thaddeus Young,Team.BROOKLYN_NETS,1/26/2016,Location.HOME
210,Devin Booker,Tyson Chandler,Mirza Teletovi?,Team.PHOENIX_SUNS,1/26/2016,Location.AWAY
211,Rajon Rondo,DeMarcus Cousins,Darren Collison,Team.SACRAMENTO_KINGS,1/26/2016,Location.AWAY
212,Damian Lillard,Mason Plumlee,CJ McCollum,Team.PORTLAND_TRAIL_BLAZERS,1/26/2016,Location.HOME
213,John Wall,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/28/2016,Location.HOME
214,Jimmy Butler,Pau Gasol,Derrick Rose,Team.CHICAGO_BULLS,1/28/2016,Location.AWAY
215,Jrue Holiday,Ömer A??k,Ryan Anderson,Team.NEW_ORLEANS_PELICANS,1/28/2016,Location.HOME
216,Giannis Antetokounmpo,Greg Monroe,Khris Middleton,Team.MILWAUKEE_BUCKS,1/28/2016,Location.AWAY
217,Arron Afflalo,Robin Lopez,Sasha Vuja?i?,Team.NEW_YORK_KNICKS,1/28/2016,Location.AWAY
218,Jordan Clarkson,Julius Randle,Brandon Bass,Team.LOS_ANGELES_LAKERS,1/28/2016,Location.HOME
219,Jeff Teague,Al Horford,Paul Millsap,Team.ATLANTA_HAWKS,1/28/2016,Location.AWAY
220,Monta Ellis,Myles Turner,Paul George,Team.INDIANA_PACERS,1/28/2016,Location.HOME
221,Kyle Lowry,Jonas Valan?i?nas,DeMar DeRozan,Team.TORONTO_RAPTORS,1/28/2016,Location.HOME
222,Tony Allen,Zach Randolph,Matt Barnes,Team.MEMPHIS_GRIZZLIES,1/28/2016,Location.HOME
223,Rajon Rondo,DeMarcus Cousins,Darren Collison,Team.SACRAMENTO_KINGS,1/28/2016,Location.AWAY
224,Gary Harris,Nikola Joki?,Kenneth Faried,Team.DENVER_NUGGETS,1/28/2016,Location.AWAY
225,John Wall,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/30/2016,Location.AWAY
226,Jrue Holiday,Anthony Davis,Ryan Anderson,Team.NEW_ORLEANS_PELICANS,1/30/2016,Location.HOME
227,Ish Smith,Nerlens Noel,Robert Covington,Team.PHILADELPHIA_76ERS,1/30/2016,Location.HOME
228,LeBron James,Tristan Thompson,Kyrie Irving,Team.CLEVELAND_CAVALIERS,1/30/2016,Location.HOME
229,Reggie Jackson,Andre Drummond,Marcus Morris,Team.DETROIT_PISTONS,1/30/2016,Location.AWAY
230,Monta Ellis,Myles Turner,Paul George,Team.INDIANA_PACERS,1/30/2016,Location.HOME
231,James Harden,Dwight Howard,Trevor Ariza,Team.HOUSTON_ROCKETS,1/30/2016,Location.HOME
232,Stephen Curry,Andrew Bogut,Klay Thompson,Team.GOLDEN_STATE_WARRIORS,1/30/2016,Location.AWAY
233,Kyle Lowry,Jonas Valan?i?nas,DeMar DeRozan,Team.TORONTO_RAPTORS,1/30/2016,Location.HOME
234,Tony Parker,LaMarcus Aldridge,Kawhi Leonard,Team.SAN_ANTONIO_SPURS,1/30/2016,Location.AWAY
235,Donald Sloan,Brook Lopez,Thaddeus Young,Team.BROOKLYN_NETS,1/30/2016,Location.AWAY
